subID,cue,coherence,threshold,congruent,noise1Frames,signal1Frames,noise2Frames,signal2Frames,RT,rawChoice,forcedChoice
1,0.5,0.52,10,1,95,25,86,426,632,NaN,1
1,0.5,0.52,10,1,98,31,89,414,303,0,0
1,0.5,0.52,10,1,90,29,82,431,239,1,1
1,0.5,0.52,10,1,102,24,91,415,632,NaN,0
1,0.5,0.52,10,1,94,26,88,424,457,1,1
1,0.5,0.52,10,1,85,23,85,439,393,1,1
1,0.5,0.52,10,1,93,55,85,399,415,0,0
1,0.5,0.52,10,1,88,23,75,446,511,1,1
1,0.5,0.52,10,1,80,42,77,433,632,NaN,1
1,0.5,0.52,10,1,75,23,80,454,395,1,1
1,0.5,0.52,10,1,96,44,93,399,515,0,0
1,0.5,0.52,10,1,86,23,106,417,469,1,1
1,0.5,0.52,10,1,107,41,77,407,379,1,1
1,0.5,0.52,10,1,78,32,107,415,613,1,1
1,0.5,0.52,10,1,83,28,270,251,589,1,1
1,0.5,0.52,10,1,101,43,75,413,632,NaN,1
1,0.5,0.52,10,1,75,23,75,459,193,0,0
1,0.5,0.52,10,1,82,32,75,443,607,1,1
1,0.5,0.52,10,1,103,31,78,420,632,NaN,0
1,0.5,0.52,10,1,92,29,84,427,305,1,1
1,0.5,0.52,10,1,100,36,79,417,615,1,1
1,0.5,0.52,10,1,78,35,80,439,195,1,1
1,0.5,0.52,10,1,75,47,98,412,361,0,0
1,0.5,0.52,10,1,105,26,78,423,367,1,1
1,0.5,0.52,10,1,82,23,76,451,197,1,1
1,0.5,0.52,10,0,77,30,75,450,555,1,1
1,0.5,0.52,10,0,80,52,104,396,632,NaN,1
1,0.5,0.52,10,0,87,33,79,433,257,1,1
1,0.5,0.52,10,0,99,25,84,424,325,1,1
1,0.5,0.52,10,0,89,23,102,418,632,NaN,0
1,0.5,0.52,10,0,77,46,75,434,295,1,1
1,0.5,0.52,10,0,106,30,97,399,331,0,0
1,0.5,0.52,10,0,79,50,96,407,385,1,1
1,0.5,0.52,10,0,104,45,75,408,249,1,1
1,0.5,0.52,10,0,81,40,94,417,505,0,0
1,0.5,0.52,10,0,75,54,99,404,377,1,1
1,0.5,0.52,10,0,85,48,101,398,585,0,0
1,0.5,0.52,10,0,91,49,75,417,341,1,1
1,0.5,0.52,10,0,75,27,87,443,551,1,1
1,0.5,0.52,10,0,75,53,83,421,435,1,1
1,0.5,0.52,10,0,97,39,81,415,301,1,1
1,0.5,0.52,10,0,84,27,90,431,553,1,1
1,0.5,0.52,10,0,79,51,103,399,632,NaN,0
1,0.5,0.52,10,0,81,34,95,422,265,0,0
1,0.5,0.52,10,0,83,23,100,426,632,NaN,1
1,0.5,0.52,10,0,75,28,105,424,495,1,1
1,0.5,0.52,10,0,75,38,81,438,313,1,1
1,0.5,0.52,10,0,76,37,92,427,387,1,1
1,0.5,0.52,10,0,84,218,82,248,215,1,1
1,0.5,0.52,10,0,270,33,83,246,387,1,1
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,1,102,23,82,425,117,1,1
2,0.5,0.52,10,1,82,45,93,412,121,1,1
2,0.5,0.52,10,1,84,23,75,450,371,0,0
2,0.5,0.52,10,1,94,27,81,430,217,1,1
2,0.5,0.52,10,1,79,35,78,440,243,1,1
2,0.5,0.52,10,1,77,46,95,414,632,NaN,1
2,0.5,0.52,10,1,75,44,107,406,391,1,1
2,0.5,0.52,10,1,81,23,99,429,133,1,1
2,0.5,0.52,10,1,106,48,97,381,419,0,0
2,0.5,0.52,10,1,85,50,102,395,632,NaN,1
2,0.5,0.52,10,1,80,49,100,403,405,0,0
2,0.5,0.52,10,1,84,29,75,444,632,NaN,1
2,0.5,0.52,10,1,78,23,80,451,577,1,1
2,0.5,0.52,10,1,103,25,91,413,632,NaN,1
2,0.5,0.52,10,1,97,40,270,225,509,1,1
2,0.5,0.52,10,1,75,33,82,442,589,1,1
2,0.5,0.52,10,1,83,55,89,405,313,1,1
2,0.5,0.52,10,1,98,27,84,423,533,0,0
2,0.5,0.52,10,1,93,25,92,422,445,1,1
2,0.5,0.52,10,1,88,54,105,385,632,NaN,1
2,0.5,0.52,10,1,85,36,96,415,483,1,1
2,0.5,0.52,10,1,77,23,75,457,513,0,0
2,0.5,0.52,10,1,82,218,75,257,632,NaN,0
2,0.5,0.52,10,1,100,41,85,406,632,NaN,1
2,0.5,0.52,10,1,81,42,94,415,295,1,1
2,0.5,0.52,10,0,79,26,77,450,347,0,0
2,0.5,0.52,10,0,75,38,84,435,297,0,0
2,0.5,0.52,10,0,105,23,80,424,233,1,1
2,0.5,0.52,10,0,80,32,103,417,632,NaN,0
2,0.5,0.52,10,0,96,37,77,422,571,1,1
2,0.5,0.52,10,0,75,32,75,450,632,NaN,1
2,0.5,0.52,10,0,91,47,90,404,632,NaN,1
2,0.5,0.52,10,0,90,31,76,435,415,1,1
2,0.5,0.52,10,0,95,23,86,428,431,0,0
2,0.5,0.52,10,0,76,53,101,402,327,1,1
2,0.5,0.52,10,0,83,43,106,400,289,1,1
2,0.5,0.52,10,0,75,30,83,444,215,1,1
2,0.5,0.52,10,0,101,31,83,417,299,0,0
2,0.5,0.52,10,0,270,33,87,242,632,NaN,1
2,0.5,0.52,10,0,99,39,88,406,293,0,0
2,0.5,0.52,10,0,107,26,75,424,311,0,0
2,0.5,0.52,10,0,89,28,75,440,632,NaN,0
2,0.5,0.52,10,0,78,30,75,449,632,NaN,1
2,0.5,0.52,10,0,92,23,81,436,289,1,1
2,0.5,0.52,10,0,87,29,78,438,483,1,1
2,0.5,0.52,10,0,75,52,79,426,383,1,1
2,0.5,0.52,10,0,104,34,104,390,309,1,1
2,0.5,0.52,10,0,86,24,98,424,507,1,1
2,0.5,0.52,10,0,75,28,79,450,245,1,1
2,0.5,0.52,10,0,75,51,85,421,327,1,1
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
