subID,model,loss,condition,sample_size,n_params,B_fitted,B_min,B_max,a_fitted,a_min,a_max,b_fitted,b_min,b_max,a50_fitted,a50_min,a50_max,b50_fitted,b50_min,b50_max
32,startPoint_uniform,475.1874136838296,condition_80cue,271,5,2.3108380818000676,0.25,12.0,0.33675781941305183,-0.5,0.5,0.20563055705403513,0.01,0.49,0.16927962517216422,-0.5,0.5,0.045907155612747975,0.01,0.49
33,startPoint_uniform,473.47751064249735,condition_80cue,276,5,2.835408170717194,0.25,12.0,0.08166195784223906,-0.5,0.5,0.49,0.01,0.49,0.43717361167048097,-0.5,0.5,0.36968300606563304,0.01,0.49
35,startPoint_uniform,639.5206221681407,condition_80cue,414,5,1.616997085151925,0.25,12.0,0.26019911141786134,-0.5,0.5,0.1766256860087441,0.01,0.49,-0.03677687747652364,-0.5,0.5,0.3008393023661928,0.01,0.49
36,startPoint_uniform,692.1245161719993,condition_80cue,414,5,2.2394644508485584,0.25,12.0,0.1578988745184079,-0.5,0.5,0.48662823373419495,0.01,0.49,0.4062618993291801,-0.5,0.5,0.1533149365436043,0.01,0.49
37,startPoint_uniform,737.6841473967675,condition_80cue,413,5,2.140268256855205,0.25,12.0,0.07968492134474581,-0.5,0.5,0.35271282161361933,0.01,0.49,0.15606318250078755,-0.5,0.5,0.14631741827888864,0.01,0.49
38,startPoint_uniform,662.1741300304948,condition_80cue,414,5,2.7147124388703943,0.25,12.0,0.49716923372254684,-0.5,0.5,0.4798458042135058,0.01,0.49,0.4946427364502164,-0.5,0.5,0.2025336574492176,0.01,0.49
39,startPoint_uniform,710.3221807737483,condition_80cue,408,5,2.3426236600232206,0.25,12.0,0.25926645941846205,-0.5,0.5,0.40734327928378716,0.01,0.49,0.20890199798979414,-0.5,0.5,0.22039284565138428,0.01,0.49
40,startPoint_uniform,661.0501611474077,condition_80cue,413,5,2.141684277810774,0.25,12.0,0.41748643251896944,-0.5,0.5,0.4454518926297921,0.01,0.49,0.30456973775497564,-0.5,0.5,0.17981452032061007,0.01,0.49
41,startPoint_uniform,643.3304247861573,condition_80cue,403,5,3.72850748554672,0.25,12.0,0.12589293852461603,-0.5,0.5,0.477616507261291,0.01,0.49,0.2384482233844406,-0.5,0.5,0.21685058493751336,0.01,0.49
42,startPoint_uniform,491.5053777535298,condition_80cue,391,5,4.851727021024717,0.25,12.0,0.3313676334700669,-0.5,0.5,0.4843469668401472,0.01,0.49,0.46104839294698685,-0.5,0.5,0.4423317617544825,0.01,0.49
43,startPoint_uniform,688.2740483575169,condition_80cue,412,5,2.928898965238721,0.25,12.0,0.31209156119963377,-0.5,0.5,0.48299038175288034,0.01,0.49,0.44642404495494403,-0.5,0.5,0.304827333255211,0.01,0.49
44,startPoint_uniform,674.7104371330627,condition_80cue,414,5,2.436047280662289,0.25,12.0,0.43691542987878806,-0.5,0.5,0.4753084372034377,0.01,0.49,0.3707862452704862,-0.5,0.5,0.4834280036288451,0.01,0.49
45,startPoint_uniform,680.6900212193179,condition_80cue,403,5,3.3103961179355754,0.25,12.0,0.12032613817715954,-0.5,0.5,0.49,0.01,0.49,0.379726581985263,-0.5,0.5,0.1580159997219318,0.01,0.49
46,startPoint_uniform,749.5125912985889,condition_80cue,413,5,1.7757752353383056,0.25,12.0,0.07609521907938455,-0.5,0.5,0.025320423544140103,0.01,0.49,-0.016770033996271305,-0.5,0.5,0.06279422552819333,0.01,0.49
47,startPoint_uniform,660.91246248899,condition_80cue,413,5,2.8650364833953503,0.25,12.0,0.248601321289449,-0.5,0.5,0.4882717625479919,0.01,0.49,0.4493941811495966,-0.5,0.5,0.440246633129858,0.01,0.49
48,startPoint_uniform,667.7337859822418,condition_80cue,412,5,3.7719714520533834,0.25,12.0,0.3144032904760037,-0.5,0.5,0.48526734150617046,0.01,0.49,0.3751211463274937,-0.5,0.5,0.24087867414807237,0.01,0.49
