subID,model,loss,condition,sample_size,n_params,drift_cued_fitted,drift_cued_min,drift_cued_max,drift_neut_fitted,drift_neut_min,drift_neut_max,B_fitted,B_min,B_max,a_fitted,a_min,a_max,b_fitted,b_min,b_max,a50_fitted,a50_min,a50_max,b50_fitted,b50_min,b50_max
32,startPoint_uniform_wDrift,467.73935183545854,condition_80cue,271,7,0.4023249868972686,0.0,10.0,0.30838945463285344,0.0,10.0,2.152358230270343,0.25,12.0,0.12486150492850379,-0.5,0.5,0.19644208772303381,0.01,0.49,-0.1259232799637272,-0.5,0.5,0.15670666483223214,0.01,0.49
33,startPoint_uniform_wDrift,466.4885251465365,condition_80cue,276,7,0.2971521433696781,0.0,10.0,4.918280082978308,0.0,10.0,2.804871817783536,0.25,12.0,-0.07551656363186615,-0.5,0.5,0.4793222955078785,0.01,0.49,-0.44154717415072225,-0.5,0.5,0.13428336280267955,0.01,0.49
35,startPoint_uniform_wDrift,513.5146724493294,condition_80cue,414,7,6.960900371899197,0.0,10.0,0.299335415329806,0.0,10.0,1.9112851457407025,0.25,12.0,-0.27694516465310187,-0.5,0.5,0.12590166689337834,0.01,0.49,-0.010912847521474589,-0.5,0.5,0.2964413632007391,0.01,0.49
36,startPoint_uniform_wDrift,644.5395708328145,condition_80cue,414,7,9.932811669538104,0.0,10.0,10.0,0.0,10.0,5.348440731496849,0.25,12.0,-0.21954311056553177,-0.5,0.5,0.18678755366244512,0.01,0.49,-0.2474894233277098,-0.5,0.5,0.10484063093437199,0.01,0.49
37,startPoint_uniform_wDrift,734.2627418150407,condition_80cue,413,7,0.1888188048495984,0.0,10.0,0.3210818815769584,0.0,10.0,2.1024394863956655,0.25,12.0,-0.04229997285920173,-0.5,0.5,0.33663407613131935,0.01,0.49,0.02739347158962757,-0.5,0.5,0.22525209523155215,0.01,0.49
38,startPoint_uniform_wDrift,531.4951121852008,condition_80cue,414,7,8.044620564728794,0.0,10.0,8.310192863724184,0.0,10.0,4.627153809521836,0.25,12.0,0.31813678263280587,-0.5,0.5,0.2430326480454751,0.01,0.49,-0.46712627452269584,-0.5,0.5,0.16869300152124805,0.01,0.49
39,startPoint_uniform_wDrift,698.0153802141197,condition_80cue,408,7,0.40863731957645194,0.0,10.0,0.27413384368482296,0.0,10.0,2.0784725610585486,0.25,12.0,0.0641806860045725,-0.5,0.5,0.3947528192924085,0.01,0.49,-0.05938522992330442,-0.5,0.5,0.42109780809836705,0.01,0.49
40,startPoint_uniform_wDrift,523.7335694953217,condition_80cue,413,7,7.2490124499991815,0.0,10.0,7.592073123952745,0.0,10.0,3.711054845215407,0.25,12.0,0.4668074996956243,-0.5,0.5,0.051505456514444034,0.01,0.49,-0.42919569590537276,-0.5,0.5,0.01611360481734199,0.01,0.49
41,startPoint_uniform_wDrift,638.7473295492506,condition_80cue,403,7,0.19332841559679373,0.0,10.0,0.31151637681635863,0.0,10.0,3.563872189177181,0.25,12.0,0.00597160582091405,-0.5,0.5,0.46610087062315764,0.01,0.49,-0.1944397714412044,-0.5,0.5,0.4609586283154831,0.01,0.49
42,startPoint_uniform_wDrift,461.7256591371197,condition_80cue,391,7,0.06462348592859726,0.0,10.0,4.857362295385943,0.0,10.0,4.600092218446201,0.25,12.0,0.242284657328805,-0.5,0.5,0.4837634331871867,0.01,0.49,-0.4928666787902957,-0.5,0.5,0.11948157687612142,0.01,0.49
