subID,model,loss,condition,sample_size,n_params,drift_fitted,drift_min,drift_max,B_fitted,B_min,B_max,nondectime_fitted,nondectime_min,nondectime_max
32,visionOnly,107.47208189895517,condition_80cue,75,3,1.0982237752534527,0.0,15.0,1.2411765263020194,0.5,12.0,0.9089817946939255,0.01,1.5
33,visionOnly,82.54016242993731,condition_80cue,78,3,1.1302389831504023,0.0,15.0,0.7842040474047846,0.5,12.0,0.7738864478927557,0.01,1.5
35,visionOnly,5.520385110870247,condition_80cue,80,3,1.4692613752281363,0.0,15.0,0.5494518827116073,0.5,12.0,0.38342078331724644,0.01,1.5
36,visionOnly,89.35382158538627,condition_80cue,78,3,1.0777694924958379,0.0,15.0,1.0294050859053336,0.5,12.0,0.6503678343607675,0.01,1.5
37,visionOnly,85.0091512135473,condition_80cue,78,3,1.0081137415190449,0.0,15.0,0.8958958224018048,0.5,12.0,0.4942590053472759,0.01,1.5
38,visionOnly,133.2554946349209,condition_80cue,79,3,0.8093995125636558,0.0,15.0,1.1628517359560921,0.5,12.0,0.6477825385848109,0.01,1.5
39,visionOnly,92.22262966451997,condition_80cue,79,3,0.7760194885393962,0.0,15.0,0.8870946028372368,0.5,12.0,0.4665079079723728,0.01,1.5
40,visionOnly,60.281188371270495,condition_80cue,79,3,1.0069936349795428,0.0,15.0,0.7008252338645347,0.5,12.0,0.5999620093228336,0.01,1.5
41,visionOnly,99.72699479259495,condition_80cue,78,3,0.971582487704682,0.0,15.0,0.9520457353053877,0.5,12.0,0.8672819620457493,0.01,1.5
42,visionOnly,132.7947136682187,condition_80cue,75,3,0.703248595135097,0.0,15.0,1.2733769369015717,0.5,12.0,0.5919490219871895,0.01,1.5
43,visionOnly,82.12701418550586,condition_80cue,79,3,1.2407561964324483,0.0,15.0,0.9322610122750125,0.5,12.0,0.4019529772937699,0.01,1.5
44,visionOnly,44.3649620142283,condition_80cue,80,3,0.8601822759761014,0.0,15.0,0.6707920002920165,0.5,12.0,0.41681683424186144,0.01,1.5
45,visionOnly,125.5365984605932,condition_80cue,78,3,0.786932804973715,0.0,15.0,1.154643055828514,0.5,12.0,0.7244946758482573,0.01,1.5
46,visionOnly,63.73818671387333,condition_80cue,79,3,0.8265293158133669,0.0,15.0,0.7286512790638456,0.5,12.0,0.4710068217866258,0.01,1.5
47,visionOnly,62.58499242415681,condition_80cue,78,3,1.1759712131417488,0.0,15.0,0.8433361707227776,0.5,12.0,0.7184896843422858,0.01,1.5
48,visionOnly,111.33510521061417,condition_80cue,78,3,0.563491825431829,0.0,15.0,0.9970869991436777,0.5,12.0,0.608843865828668,0.01,1.5
