subID,model,loss,condition,sample_size,n_params,noise1_cong_fitted,noise1_cong_min,noise1_cong_max,noise1_neut_fitted,noise1_neut_min,noise1_neut_max,signal1_cong_fitted,signal1_cong_min,signal1_cong_max,signal1_incong_fitted,signal1_incong_min,signal1_incong_max,signal1_neut_fitted,signal1_neut_min,signal1_neut_max,noise2_cong_fitted,noise2_cong_min,noise2_cong_max,noise2_incong_fitted,noise2_incong_min,noise2_incong_max,noise2_neut_fitted,noise2_neut_min,noise2_neut_max,signal2_cong_fitted,signal2_cong_min,signal2_cong_max,signal2_incong_fitted,signal2_incong_min,signal2_incong_max,signal2_neut_fitted,signal2_neut_min,signal2_neut_max,B_fitted,B_min,B_max
32,unknown_model,431.2470327191695,condition_80cue,245,12,0.6448624238344305,0.0,10.0,0.0,0.0,10.0,0.0627715943101116,0.0,10.0,1.2580350372000175,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.9146542219012374,0.0,10.0,6.283724164918382,0.0,10.0,6.7589990141260925,0.0,10.0,5.313399554342642,0.0,10.0,2.880548732323799,0.5,12.0
33,unknown_model,514.51953763529,condition_80cue,250,12,0.366771204421047,0.0,10.0,0.0,0.0,10.0,4.760655472526128,0.0,10.0,3.919499456644093,0.0,10.0,4.228393455765194,0.0,10.0,0.0188380512561325,0.0,10.0,0.0,0.0,10.0,1.1133137764913124,0.0,10.0,5.223246552215928,0.0,10.0,5.110705503431546,0.0,10.0,7.390094505848849,0.0,10.0,5.568625281350028,0.5,12.0
35,unknown_model,370.9399378552822,condition_80cue,376,12,5.827585062466778,0.0,10.0,5.150802124615787,0.0,10.0,5.42295537373252,0.0,10.0,4.6297051101314075,0.0,10.0,6.135081060274262,0.0,10.0,7.796373327979488,0.0,10.0,3.7459472598708117,0.0,10.0,6.129119639954368,0.0,10.0,9.588919504219774,0.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,7.891498249111702,0.5,12.0
36,unknown_model,529.5150891839136,condition_80cue,376,12,3.405229375671956,0.0,10.0,1.954025676362959,0.0,10.0,5.066312922983071,0.0,10.0,4.722322937678228,0.0,10.0,6.357495907634058,0.0,10.0,0.9150065566957982,0.0,10.0,1.6040099504267966,0.0,10.0,2.0021356558553474,0.0,10.0,8.228139398063101,0.0,10.0,7.2277232511421206,0.0,10.0,9.404173470794218,0.0,10.0,7.6977398872797576,0.5,12.0
37,unknown_model,715.0440582544862,condition_80cue,375,12,0.0,0.0,10.0,0.0,0.0,10.0,0.1823379467444794,0.0,10.0,0.0,0.0,10.0,0.532464596718166,0.0,10.0,0.008900103204800607,0.0,10.0,0.6722124786451867,0.0,10.0,0.0,0.0,10.0,1.1028970227590766,0.0,10.0,0.0,0.0,10.0,1.6776834912633143,0.0,10.0,1.5105934658128009,0.5,12.0
38,unknown_model,395.9622248432954,condition_80cue,376,12,3.0967286298703067,0.0,10.0,0.9070851015759721,0.0,10.0,2.43231144429268,0.0,10.0,1.7339942068534075,0.0,10.0,4.507008936960157,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,7.772612311940922,0.0,10.0,6.894889698992101,0.0,10.0,7.69688617188114,0.0,10.0,6.025916987583488,0.5,12.0
39,unknown_model,663.0994856761102,condition_80cue,370,12,1.4377279803992224,0.0,10.0,1.654885683525595,0.0,10.0,2.357385775270468,0.0,10.0,1.0014965438634897,0.0,10.0,1.3071522247388923,0.0,10.0,0.0,0.0,10.0,1.596745055420212,0.0,10.0,0.0,0.0,10.0,6.621284599351592,0.0,10.0,8.327750114518416,0.0,10.0,6.685949375179914,0.0,10.0,4.500221476911541,0.5,12.0
40,unknown_model,397.0427669169909,condition_80cue,375,12,2.04802152587576,0.0,10.0,0.03412057538982802,0.0,10.0,2.9942815020157583,0.0,10.0,1.4391114512960221,0.0,10.0,4.323231248838268,0.0,10.0,0.0,0.0,10.0,1.8158529904015785,0.0,10.0,0.0,0.0,10.0,7.118625739841798,0.0,10.0,7.063164428347276,0.0,10.0,8.353302446153494,0.0,10.0,4.580191005799395,0.5,12.0
41,unknown_model,773.117315649672,condition_80cue,365,12,0.0,0.0,10.0,0.0,0.0,10.0,2.777902605613159,0.0,10.0,0.5894834906297394,0.0,10.0,3.273599776612566,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.487494097451365,0.0,10.0,5.9964850836494215,0.0,10.0,5.178764469278948,0.0,10.0,5.199619115154622,0.5,12.0
42,unknown_model,513.5035896437587,condition_80cue,354,12,3.1502660383690695,0.0,10.0,3.133003773742275,0.0,10.0,3.574737397409555,0.0,10.0,0.010542984656318645,0.0,10.0,4.395220067997821,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.800111641481647,0.0,10.0,6.443669514166827,0.0,10.0,5.033392288066422,0.0,10.0,9.21330016549861,0.5,12.0
43,unknown_model,615.9809569655655,condition_80cue,374,12,0.34855099448005117,0.0,10.0,0.1873062916969338,0.0,10.0,3.2374889593416123,0.0,10.0,3.933501192933054,0.0,10.0,3.19955746341394,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.516955086597139,0.0,10.0,4.348430993127678,0.0,10.0,5.970204540259426,0.0,10.0,4.534160670045967,0.5,12.0
