subID,model,loss,condition,sample_size,n_params,noise1_cong_fitted,noise1_cong_min,noise1_cong_max,noise1_neut_fitted,noise1_neut_min,noise1_neut_max,signal1_cong_fitted,signal1_cong_min,signal1_cong_max,signal1_incong_fitted,signal1_incong_min,signal1_incong_max,signal1_neut_fitted,signal1_neut_min,signal1_neut_max,noise2_cong_fitted,noise2_cong_min,noise2_cong_max,noise2_incong_fitted,noise2_incong_min,noise2_incong_max,noise2_neut_fitted,noise2_neut_min,noise2_neut_max,signal2_cong_fitted,signal2_cong_min,signal2_cong_max,signal2_incong_fitted,signal2_incong_min,signal2_incong_max,signal2_neut_fitted,signal2_neut_min,signal2_neut_max,B_fitted,B_min,B_max
32,unknown_model,428.29213063932866,condition_80cue,245,12,0.4269998346714131,-20.0,200.0,-0.257705710976879,-20.0,20.0,0.03230073207230688,-20.0,20.0,1.3212610472043134,-20.0,20.0,-0.16873473195061994,-20.0,20.0,-0.08924720908823884,-20.0,20.0,-1.1868139294217024,-20.0,20.0,1.024250793922257,-20.0,20.0,5.9968588559834375,-20.0,20.0,6.7375206010373585,-20.0,20.0,5.026066464737435,-20.0,20.0,2.616544802791715,0.5,15.0
33,unknown_model,374.9901379892679,condition_80cue,250,12,0.28605029032305657,-20.0,200.0,-1.7187092120059668,-20.0,20.0,4.708781400492919,-20.0,20.0,-3.8761887199880873,-20.0,20.0,6.029660074533119,-20.0,20.0,0.016338655103947063,-20.0,20.0,-2.5656168512756192,-20.0,20.0,1.3281641707781462,-20.0,20.0,5.2165655733482055,-20.0,20.0,-8.917058280873256,-20.0,20.0,7.859208493957732,-20.0,20.0,5.474811276168314,0.5,15.0
35,unknown_model,368.25302849444313,condition_80cue,376,12,6.040676348319827,-20.0,200.0,5.134762764894224,-20.0,20.0,5.556369455586427,-20.0,20.0,4.718463894636317,-20.0,20.0,6.4325416017697385,-20.0,20.0,-3.0618863927545714,-20.0,20.0,-2.6163411004747017,-20.0,20.0,-20.0,-20.0,20.0,9.800340354368144,-20.0,20.0,10.317612263522609,-20.0,20.0,10.643434941783989,-20.0,20.0,8.13265105359639,0.5,15.0
36,unknown_model,361.70385195431527,condition_80cue,376,12,2.371658266524998,-20.0,200.0,1.1863260464835041,-20.0,20.0,4.791297807344978,-20.0,20.0,-9.027175779771149,-20.0,20.0,5.843728371601849,-20.0,20.0,0.8594975812993305,-20.0,20.0,3.6127825800345916,-20.0,20.0,1.9381456770863894,-20.0,20.0,7.960228984421847,-20.0,20.0,-10.976617566639304,-20.0,20.0,8.95951950626856,-20.0,20.0,6.704740082834974,0.5,15.0
37,unknown_model,743.9434888547034,condition_80cue,375,12,0.2974956273080671,-20.0,200.0,0.2856512507152286,-20.0,20.0,0.5166784105135097,-20.0,20.0,-1.3851888609441807,-20.0,20.0,0.9073546030084308,-20.0,20.0,-0.21966150615862273,-20.0,20.0,2.5488338755971056,-20.0,20.0,-0.31823400254190026,-20.0,20.0,5.42018887549995,-20.0,20.0,-5.734905433101871,-20.0,20.0,6.4342194162045585,-20.0,20.0,2.6643383417929245,0.5,15.0
38,unknown_model,283.95464762795564,condition_80cue,376,12,1.697825949854623,-20.0,200.0,0.0036618611890696933,-20.0,20.0,2.6970295474838886,-20.0,20.0,-6.313232699574663,-20.0,20.0,4.218423940440825,-20.0,20.0,-0.9735120126063428,-20.0,20.0,0.7501943664961436,-20.0,20.0,-0.9343930571374682,-20.0,20.0,7.818314549869986,-20.0,20.0,-6.9384790797477995,-20.0,20.0,7.756477114080259,-20.0,20.0,4.940389050169151,0.5,15.0
39,unknown_model,623.0128848419818,condition_80cue,370,12,-0.3681508966017451,-20.0,200.0,-0.20571780478654045,-20.0,20.0,2.018487811271755,-20.0,20.0,0.5843168646906514,-20.0,20.0,1.2141099728790254,-20.0,20.0,-0.6514478983303315,-20.0,20.0,-1.1765480386336513,-20.0,20.0,-1.3276032653890089,-20.0,20.0,6.073439388807793,-20.0,20.0,-6.176230080360092,-20.0,20.0,6.082273393504568,-20.0,20.0,2.771053592668741,0.5,15.0
40,unknown_model,334.3697436676228,condition_80cue,375,12,1.1519903695984768,-20.0,200.0,-0.4903376645808148,-20.0,20.0,3.2269861785250598,-20.0,20.0,-4.951990559143877,-20.0,20.0,4.080762715380087,-20.0,20.0,-0.21766667930008735,-20.0,20.0,-0.29808697905886083,-20.0,20.0,-2.7217763122113685,-20.0,20.0,7.10869296023321,-20.0,20.0,-10.584912802227912,-20.0,20.0,8.369520713824338,-20.0,20.0,4.023157225114327,0.5,15.0
41,unknown_model,600.9841638390157,condition_80cue,365,12,-0.3277572035159034,-20.0,200.0,-1.9579947080750273,-20.0,20.0,3.8339997074956895,-20.0,20.0,-3.190597549159122,-20.0,20.0,5.319079131613049,-20.0,20.0,-1.7304726635866166,-20.0,20.0,2.212700606319412,-20.0,20.0,-0.036538285749294665,-20.0,20.0,6.366003666084371,-20.0,20.0,-5.233436218403003,-20.0,20.0,5.608661774211199,-20.0,20.0,5.111778290451906,0.5,15.0
42,unknown_model,196.95616633825193,condition_80cue,354,12,1.8053878962780274,-20.0,200.0,2.1314461813458885,-20.0,20.0,3.1185924290883604,-20.0,20.0,-6.361355717049367,-20.0,20.0,3.9642348205201245,-20.0,20.0,-0.7082071345508061,-20.0,20.0,-0.39716536095195076,-20.0,20.0,-1.3777118632333223,-20.0,20.0,5.709596956947836,-20.0,20.0,-5.720281899211118,-20.0,20.0,5.147526053993866,-20.0,20.0,7.3080090902659265,0.5,15.0
43,unknown_model,354.9264646800287,condition_80cue,374,12,0.04544187922312352,-20.0,200.0,-0.041593980897427024,-20.0,20.0,3.591438839635199,-20.0,20.0,-3.2967073681050323,-20.0,20.0,3.414821508973461,-20.0,20.0,-1.4457369100599577,-20.0,20.0,1.3549855541606528,-20.0,20.0,-1.3603445196164834,-20.0,20.0,6.084894165310191,-20.0,20.0,-6.259477372906431,-20.0,20.0,6.401628637824939,-20.0,20.0,4.353288296131175,0.5,15.0
44,unknown_model,365.8266818859781,condition_80cue,376,12,0.8877649855694334,-20.0,200.0,-1.5900127082970819,-20.0,20.0,1.992731099612258,-20.0,20.0,-4.1644077939803275,-20.0,20.0,4.530642625749434,-20.0,20.0,0.6557487474782433,-20.0,20.0,-0.42559426968955827,-20.0,20.0,0.8758497382601933,-20.0,20.0,6.731337943599022,-20.0,20.0,-7.6847817980726525,-20.0,20.0,8.251626420405174,-20.0,20.0,3.7402088029642346,0.5,15.0
