subID,model,loss,condition,sample_size,n_params,noise1_fitted,noise1_min,noise1_max,noise1_50_fitted,noise1_50_min,noise1_50_max,signal1_fitted,signal1_min,signal1_max,signal1_50_fitted,signal1_50_min,signal1_50_max,noise2_fitted,noise2_min,noise2_max,noise2_50_fitted,noise2_50_min,noise2_50_max,noise2_shortS1_fitted,noise2_shortS1_min,noise2_shortS1_max,noise2_50_shortS1_fitted,noise2_50_shortS1_min,noise2_50_shortS1_max,signal2_fitted,signal2_min,signal2_max,signal2_50_fitted,signal2_50_min,signal2_50_max,B_fitted,B_min,B_max
32,unknown_model,429.41149776551117,condition_80cue,245,11,0.4122477828538704,0.0,10.0,0.0,0.0,10.0,0.08909212433418687,0.0,10.0,0.0,0.0,10.0,1.5776575045046832,0.0,10.0,1.9386660875472135,0.0,10.0,0.0,0.0,10.0,0.2525476820645911,0.0,10.0,5.927656126764468,0.0,10.0,4.748425318334553,0.0,10.0,2.551126317204699,0.5,12.0
33,unknown_model,513.9828202226485,condition_80cue,250,11,0.27630067670484537,0.0,10.0,0.0,0.0,10.0,4.871869250794974,0.0,10.0,4.20931599651067,0.0,10.0,0.0,0.0,10.0,2.5787640830998066,0.0,10.0,0.2882920993962474,0.0,10.0,0.8823486127790738,0.0,10.0,5.154254138034227,0.0,10.0,7.5844523035119025,0.0,10.0,5.632747952611948,0.5,12.0
35,unknown_model,371.4089644255422,condition_80cue,376,11,5.840969196376905,0.0,10.0,5.163680706414927,0.0,10.0,5.355284244203413,0.0,10.0,6.136443763085774,0.0,10.0,9.231247089703217,0.0,10.0,4.904041470071295,0.0,10.0,8.60534069617274,0.0,10.0,7.591862529483824,0.0,10.0,9.65568403027429,0.0,10.0,10.0,0.0,10.0,7.902925723369908,0.5,12.0
36,unknown_model,530.6895889371308,condition_80cue,376,11,3.88350502947233,0.0,10.0,2.3215216998465733,0.0,10.0,5.277788101448378,0.0,10.0,6.678939080470588,0.0,10.0,2.6436222628692443,0.0,10.0,1.0534717282480341,0.0,10.0,1.039283891010088,0.0,10.0,2.275235693096546,0.0,10.0,8.314091742278684,0.0,10.0,9.672264745447293,0.0,10.0,8.229819127867785,0.5,12.0
37,unknown_model,852.5550048918112,condition_80cue,375,11,2.255495658923135,0.0,10.0,1.9318455905943628,0.0,10.0,0.7922025989905023,0.0,10.0,1.369139818137346,0.0,10.0,0.8414329162611733,0.0,10.0,0.9487205927733194,0.0,10.0,0.0,0.0,10.0,0.31858601897307404,0.0,10.0,5.877559372902779,0.0,10.0,7.066133586282213,0.0,10.0,4.3617172182792645,0.5,12.0
38,unknown_model,396.15207367390553,condition_80cue,376,11,2.4782942938535184,0.0,10.0,0.361532462924025,0.0,10.0,2.159829228537749,0.0,10.0,4.145208737774175,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,7.364233182585323,0.0,10.0,7.500977834070736,0.0,10.0,5.356729470249307,0.5,12.0
39,unknown_model,663.7648648996139,condition_80cue,370,11,0.2918106100176588,0.0,10.0,0.2939061330354361,0.0,10.0,1.8648463642995905,0.0,10.0,1.0919674456558883,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,6.509758166552397,0.0,10.0,6.5668613818325525,0.0,10.0,3.3821226067479335,0.5,12.0
40,unknown_model,398.94771214963225,condition_80cue,375,11,1.96764347369173,0.0,10.0,0.0,0.0,10.0,2.892024365658913,0.0,10.0,4.2569857829247075,0.0,10.0,0.0,0.0,10.0,3.941058245220215,0.0,10.0,0.22755167051477973,0.0,10.0,0.0,0.0,10.0,7.0684784166724945,0.0,10.0,8.300357263412039,0.0,10.0,4.506760467178575,0.5,12.0
41,unknown_model,775.3826784269274,condition_80cue,365,11,0.2713596744476259,0.0,10.0,0.0,0.0,10.0,5.149220558582709,0.0,10.0,5.968433307473275,0.0,10.0,0.0,0.0,10.0,0.20229790581675705,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.9049242425613295,0.0,10.0,5.717703574435203,0.0,10.0,7.089584060177995,0.5,12.0
42,unknown_model,513.8440483825466,condition_80cue,354,11,3.184372050729943,0.0,10.0,3.5805013095535823,0.0,10.0,3.619538136208298,0.0,10.0,3.6478128682202575,0.0,10.0,0.0,0.0,10.0,0.5327767819650522,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.790239791806441,0.0,10.0,5.087168059882959,0.0,10.0,9.268690862556003,0.5,12.0
43,unknown_model,616.1824799516922,condition_80cue,374,11,0.01798615907655963,0.0,10.0,0.0,0.0,10.0,3.1370800979497013,0.0,10.0,2.896094933320091,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.4143319947254875,0.0,10.0,5.892101698881903,0.0,10.0,4.183649327731621,0.5,12.0
44,unknown_model,440.44873094787886,condition_80cue,376,11,1.4561893805824775,0.0,10.0,0.0,0.0,10.0,1.8988494926666122,0.0,10.0,3.3264850587554493,0.0,10.0,0.6842625579708166,0.0,10.0,1.8255099993121782,0.0,10.0,0.046446032130918385,0.0,10.0,0.8060942090255192,0.0,10.0,6.5165786907348675,0.0,10.0,7.509021965447447,0.0,10.0,4.072065610086597,0.5,12.0
45,unknown_model,854.4185779307193,condition_80cue,367,11,4.0065383286459575,0.0,10.0,0.0,0.0,10.0,1.9160616845608598,0.0,10.0,8.034563077403474,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.823011644843656,0.0,10.0,4.238182417101748,0.0,10.0,7.236739310425013,0.5,12.0
46,unknown_model,1025.2274284346893,condition_80cue,375,11,2.6284681929359466,0.0,10.0,1.691595521650968,0.0,10.0,0.2673448989347714,0.0,10.0,0.0,0.0,10.0,1.1583408750757958,0.0,10.0,0.8440752060881586,0.0,10.0,0.0,0.0,10.0,1.6708876603769454,0.0,10.0,5.674928785215606,0.0,10.0,6.414867498357863,0.0,10.0,4.211187221329427,0.5,12.0
47,unknown_model,480.5537557160591,condition_80cue,375,11,1.1967541519361755,0.0,10.0,1.3765350055981374,0.0,10.0,3.336577999949165,0.0,10.0,3.740673332687666,0.0,10.0,0.872278702016748,0.0,10.0,1.741917355386155,0.0,10.0,0.5176230415623638,0.0,10.0,1.631347407326488,0.0,10.0,7.289605597958446,0.0,10.0,5.954723265716996,0.0,10.0,5.823950147081899,0.5,12.0
48,unknown_model,671.3939957142342,condition_80cue,374,11,0.20741912637244175,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.42097010899667536,0.0,10.0,0.017158809364727433,0.0,10.0,1.460871176977812,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.743614978001013,0.0,10.0,4.239164593596653,0.0,10.0,3.2824543688577412,0.5,12.0
49,unknown_model,860.1538759958636,condition_80cue,375,11,0.6390925462184684,0.0,10.0,1.1157543597724369,0.0,10.0,5.169326861630464,0.0,10.0,4.327039932549699,0.0,10.0,8.645823700075205,0.0,10.0,7.868824611753932,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,8.205767148433564,0.0,10.0,7.618058428073643,0.0,10.0,5.150229113066905,0.5,12.0
