"subID","block","trial","targetImage","targetIdx","coherence","staircase","respFrame","response","accuracy","RT","flickerDuration","accuracyFactor","zlogRT"
"55",1,1," S2-19.jpg",2,0.7343,1,0,NA,0,NA,3.3372,"0",NA
"55",1,2," S1-15.jpg",1,0.5843,2,0,NA,0,NA,3.474,"0",NA
"55",1,3," S2-19.jpg",2,0.8148,1,0,NA,0,NA,3.4714,"0",NA
"55",1,4," S1-15.jpg",1,0.6648,2,50,2,0,0.835,0.8381,"0",-0.487301201100852
"55",1,5," S2-19.jpg",2,0.8594,1,104,1,0,1.5702,1.5734,"0",1.20679676109969
"55",1,6," S1-15.jpg",1,0.7094,2,93,2,0,1.4362,1.4391,"0",0.967507738041919
"55",1,7," S2-19.jpg",2,0.8857,1,80,1,0,1.2515,1.2541,"0",0.598234309134089
"55",1,8," S1-15.jpg",1,0.7357,2,96,1,1,1.4691,1.4732,"1",1.0282653056072
"55",1,9," S2-19.jpg",2,0.9019,1,96,2,1,1.4862,1.489,"1",1.05930920612349
"55",1,10," S2-19.jpg",2,0.5843,2,104,2,1,1.5824,1.5847,"1",1.22755880126999
"55",1,11," S2-19.jpg",2,0.8972,1,79,2,1,1.2358,1.2383,"1",0.56436906974161
"55",1,12," S1-15.jpg",1,0.7282,2,82,1,1,1.2753,1.2777,"1",0.648769723629358
"55",1,13," S2-19.jpg",2,0.8919,1,122,2,1,1.8084,1.8105,"1",1.58567791519056
"55",1,14," S2-19.jpg",2,0.5464,2,123,2,1,1.8504,1.8528,"1",1.64726740358105
"55",1,15," S2-19.jpg",2,0.8861,1,125,1,0,1.8637,1.8658,"0",1.66647959053963
"55",1,16," S1-15.jpg",1,0.72,2,97,2,0,1.4845,1.4869,"0",1.0562390032619
"55",1,17," S2-19.jpg",2,0.9004,1,104,1,0,1.5796,1.582,"0",1.22280793091952
"55",1,18," S1-15.jpg",1,0.7397,2,116,1,1,1.7394,1.7418,"1",1.48132090519595
"55",1,19," S2-19.jpg",2,0.9101,1,109,2,1,1.6373,1.6396,"1",1.31904928663039
"55",1,20," S2-19.jpg",2,0.5094,2,87,1,0,1.3183,1.3207,"0",0.737727138610459
"55",1,21," S1-15.jpg",1,0.7343,1,96,1,1,1.4676,1.47,"1",1.02552493933819
"55",1,22," S2-19.jpg",2,0.5918,2,102,1,0,1.4913,1.4938,"0",1.06849878754903
"55",1,23," S1-15.jpg",1,0.6964,1,64,1,1,1.0208,1.0231,"1",0.0516492793279245
"55",1,24," S1-15.jpg",1,0.7335,2,41,1,1,0.6955,0.6979,"1",-0.977672214463265
"55",1,25," S2-19.jpg",2,0.9068,1,60,2,1,0.9486,0.9511,"1",-0.145127951293326
