"subID","block","cueName","cueIdx","congImgIdx","RT","sliderValue","cueConfidence","confRT","trueCue","imgIdx_subjective","subjectiveCue","subjectiveCongCue"
55,1,"blue",3,NA,10.4485870001372,29,2,2.51529150013812,0.5,1,0.71,0.71
55,1,"red",1,1,5.24656383297406,73,3,1.83031574985944,0.65,2,0.73,0.27
55,1,"yellow",2,2,6.08733804197982,11,3,1.21501187491231,0.65,1,0.89,0.11
56,1,"orange",3,NA,6.36397850001231,67,3,3.08308720798232,0.5,2,0.67,0.67
56,1,"green",2,2,10.1192666247953,64,4,1.89176058396697,0.65,2,0.64,0.64
56,1,"purple",1,1,5.8780219159089,38,3,1.79366295784712,0.65,1,0.62,0.62
57,1,"blue",3,NA,7.24942754115909,100,3,4.63059129193425,0.5,2,1,1
57,1,"red",1,1,4.8168069999665,0,4,2.71758383302949,0.65,1,1,1
57,1,"yellow",2,2,6.08657658402808,82,3,1.18212833395228,0.65,2,0.82,0.82
58,1,"blue",3,NA,12.7469512089156,25,2,3.05287429201417,0.5,1,0.75,0.75
58,1,"yellow",2,2,13.9205815419555,83,2,1.56833624979481,0.65,2,0.83,0.83
58,1,"red",1,1,8.2386810828466,10,3,2.2542438339442,0.65,1,0.9,0.9
59,1,"green",3,NA,9.24654029193334,32,1,1.56230329209939,0.5,1,0.68,0.68
59,1,"purple",1,1,16.8879908751696,32,1,1.32499908306636,0.65,1,0.68,0.68
59,1,"orange",2,2,13.3878185828216,35,1,1.72536149993539,0.65,1,0.65,0.35
60,1,"blue",2,2,9.65444783307612,74,2,3.77135745785199,0.65,2,0.74,0.74
60,1,"yellow",1,1,5.66269562509842,36,2,1.63703062501736,0.65,1,0.64,0.64
60,1,"red",3,NA,6.28250795789063,14,3,0.557289875112474,0.5,1,0.86,0.86
61,1,"purple",2,2,11.1577962499578,82,3,4.63944333302788,0.65,2,0.82,0.82
61,1,"orange",1,1,12.9069971670397,26,3,3.71930683287792,0.65,1,0.74,0.74
61,1,"green",3,NA,8.88241924997419,47,2,3.80777016584761,0.5,1,0.53,0.53
62,1,"green",3,NA,6.07872033305466,23,2,3.46187958307564,0.5,1,0.77,0.77
62,1,"purple",2,2,6.45709404209629,92,4,1.47732999990694,0.65,2,0.92,0.92
62,1,"orange",1,1,6.98461099993438,39,3,2.1022596671246,0.65,1,0.61,0.61
63,1,"blue",1,1,30.5657923747785,0,1,3.02992291701958,0.65,1,1,1
63,1,"red",3,NA,9.79530704207718,100,1,8.21377512486652,0.5,2,1,1
63,1,"yellow",2,2,133.687281416962,80,2,2.10371945798397,0.65,2,0.8,0.8
64,1,"orange",1,1,6.1164044579491,63,2,1.63751016603783,0.65,2,0.63,0.37
64,1,"purple",2,2,5.91718366695568,50,4,1.60487962490879,0.65,NA,0.5,0.5
64,1,"green",3,NA,5.84268074994907,74,3,1.24837612500414,0.5,2,0.74,0.74
65,1,"blue",3,NA,13.2798990828451,65,2,1.75302083301358,0.5,2,0.65,0.65
65,1,"red",2,2,5.80334312515333,40,2,0.744769375072792,0.65,1,0.6,0.4
65,1,"yellow",1,1,8.86996858310886,65,2,0.519133833004162,0.65,2,0.65,0.35
66,1,"red",3,NA,9.05239916685969,45,2,3.8462138751056,0.5,1,0.55,0.55
66,1,"blue",1,1,5.22904487489723,20,3,2.14963041595183,0.65,1,0.8,0.8
66,1,"yellow",2,2,7.01782233314589,85,4,1.70847079204395,0.65,2,0.85,0.85
67,1,"orange",3,NA,8.97009129193611,70,3,1.490340791177,0.5,2,0.7,0.7
67,1,"green",1,1,6.39497570786625,76,2,1.43284016684629,0.65,2,0.76,0.24
67,1,"purple",2,2,10.2072208749596,30,2,1.43276616698131,0.65,1,0.7,0.3
68,1,"green",3,NA,15.549702124903,70,2,3.12069691694342,0.5,2,0.7,0.7
68,1,"purple",1,1,14.5731627079658,25,2,1.90916141704656,0.65,1,0.75,0.75
68,1,"orange",2,2,7.22601687489077,80,3,2.436404540902,0.65,2,0.8,0.8
69,1,"red",3,NA,11.6428207498975,41,2,2.91605075006373,0.5,1,0.59,0.59
69,1,"yellow",1,1,6.7311964998953,57,2,1.09606087487191,0.65,2,0.57,0.43
69,1,"blue",2,2,4.64076933288015,58,2,1.92693641595542,0.65,2,0.58,0.58
70,1,"orange",1,1,8.81942433398217,41,2,4.59937958302908,0.65,1,0.59,0.59
70,1,"green",2,2,6.12433600006625,75,3,0.449024750152603,0.65,2,0.75,0.75
70,1,"purple",3,NA,3.12987483292818,74,3,0.316504291957244,0.5,2,0.74,0.74
71,1,"purple",1,1,20.1739612501115,20,2,1.75495429197326,0.65,1,0.8,0.8
71,1,"green",3,NA,8.01454487489536,35,2,1.39342487487011,0.5,1,0.65,0.65
71,1,"orange",2,2,4.07696758280508,65,2,0.823602125048637,0.65,2,0.65,0.65
72,1,"green",2,2,9.2316310419701,66,2,2.55063479184173,0.65,2,0.66,0.66
72,1,"purple",1,1,5.84612158313394,24,3,1.38139008311555,0.65,1,0.76,0.76
72,1,"orange",3,NA,3.73776274989359,30,3,0.820423375116661,0.5,1,0.7,0.7
