"subID","block","trial","targetName","targetIdx","response","accuracy","RT","respFrame","totalEv_signal1","targetEv_signal1","totalEv_signal2","targetEv_signal2","confidence","confRT","flickerDuration","coherence","noise1frames_design","signal1Onset_design","signal1frames_design","noise2Onset_design","noise2frames_design","signal2Onset_design","signal2frames_design","noise1frames_obs","signal1frames_obs","noise2frames_obs","signal2frames_obs","postFlickerResp","accuracyFactor","zlogRT"
"32",1,1,"S4-20.jpg","2",2,1,2.60322283300047,192,20,7,9,1,NA,NA,2.60630329200649,0.663787019121311,90,91,35,127,47,175,65,90,35,47,18,0,"1",0.0263633170858001
"32",1,2,"S4-20.jpg","2",1,0,1.56704570799775,110,19,7,NA,NA,NA,NA,1.56957629100361,0.663787019121311,74,75,47,123,69,193,47,74,36,NA,NA,0,"0",-2.19002074348396
"32",1,3,"S4-20.jpg","2",1,0,2.68307645799359,191,17,5,NA,NA,NA,NA,2.68485691699607,0.663787019121311,48,49,60,110,83,194,46,48,60,82,NA,0,"0",0.158299883772059
"32",1,4,"S3-12.jpg","1",1,1,1.9492374160036,133,16,12,NA,NA,NA,NA,1.95177250000415,0.721212063860231,52,53,36,90,55,146,94,52,36,44,NA,0,"1",-1.23699256748672
"32",1,5,"S3-12.jpg","1",2,0,2.18970470799832,151,27,22,NA,NA,NA,NA,2.19249704100366,0.721212063860231,68,69,45,115,48,164,76,68,45,37,NA,0,"0",-0.729014130496596
"32",1,6,"S4-20.jpg","2",2,1,2.55859837500611,177,5,2,10,5,NA,NA,2.56088770799397,0.663787019121311,50,51,36,88,51,140,100,50,36,51,38,0,"1",-0.0491407020791768
"32",1,7,"S4-20.jpg","2",1,0,2.526338709009,173,27,11,NA,NA,NA,NA,2.52834120900661,0.663787019121311,80,81,37,119,61,181,59,80,37,55,NA,0,"0",-0.104548305193459
"32",1,8,"S4-20.jpg","2",1,0,2.43465720799577,167,32,15,NA,NA,NA,NA,2.4366757079988,0.663787019121311,50,51,32,84,82,167,73,167,NA,NA,NA,0,"0",-0.265966151217868
"32",1,9,"S4-20.jpg","2",2,1,1.96063249999133,141,16,3,NA,NA,2,0.997258208008134,1.96292887500022,0.663787019121311,78,79,31,111,72,184,56,78,31,31,NA,0,"1",-1.21153917316192
"32",1,10,"S3-12.jpg","1",1,1,1.70791704200383,123,18,14,NA,NA,3,0.871911333000753,1.71023045900802,0.721212063860231,85,86,33,120,76,197,43,85,33,4,NA,0,"1",-1.81411965442508
"32",1,11,"S3-12.jpg","1",1,1,2.48457104100089,179,22,14,NA,NA,2,0.68647654200322,2.48665208299644,0.721212063860231,72,73,42,116,80,197,43,72,42,64,NA,0,"1",-0.177346893810287
"32",1,12,"S3-12.jpg","1",1,1,3.11022687501099,225,21,14,12,10,3,0.681102832997567,3.11232375001418,0.721212063860231,89,90,46,137,64,202,38,89,46,64,24,0,"1",0.803408252297598
"32",1,13,"S3-12.jpg","1",2,0,3.11637862499629,225,15,13,37,30,1,0.897345584002323,3.11851445800858,0.721212063860231,47,48,33,82,68,151,89,47,33,68,75,0,"0",0.812036780464563
"32",1,14,"S3-12.jpg","1",2,0,3.55381225000019,NA,26,21,32,21,1,1.90359595899645,3.11851445800858,0.721212063860231,82,83,33,117,60,178,62,82,33,60,63,1,"0",1.38560743240447
"32",1,15,"S4-20.jpg","2",2,1,2.31448658400041,166,17,6,0,0,3,0.595080375001999,2.31653308399837,0.663787019121311,59,60,32,93,49,143,97,59,32,49,24,0,"1",-0.487003145332351
"32",1,16,"S4-20.jpg","2",2,1,3.43759400000272,NA,13,7,27,7,4,0.819467749999603,2.31653308399837,0.663787019121311,79,80,35,116,46,163,77,79,35,46,78,1,"1",1.24041664721083
"32",1,17,"S3-12.jpg","1",1,1,3.17563591701037,229,18,13,28,20,4,1.22505462499976,3.17793945800804,0.721212063860231,63,64,37,102,71,174,66,63,37,71,56,0,"1",0.894290240840224
"32",1,18,"S3-12.jpg","1",2,0,2.97690641600639,215,10,8,14,11,2,0.667065250003361,2.97920712499763,0.721212063860231,61,62,34,97,79,177,63,61,34,79,39,0,"0",0.612096037165631
"32",1,19,"S4-20.jpg","2",2,1,1.80676779200439,130,18,8,NA,NA,2,0.445322500003385,1.80914733299869,0.663787019121311,88,89,43,133,52,186,54,88,42,NA,NA,0,"1",-1.56842405032758
"32",1,20,"S4-20.jpg","2",2,1,2.38111845799722,172,6,0,3,1,2,1.01528983299795,2.38339883300068,0.663787019121311,47,48,32,81,67,149,91,47,32,67,24,0,"1",-0.363063892314259
"32",1,21,"S4-20.jpg","2",2,1,3.19380545899912,230,9,2,32,13,3,1.00667145900661,3.19633162500395,0.663787019121311,60,61,38,100,46,147,93,60,38,46,84,0,"1",0.919203644633508
"32",1,22,"S3-12.jpg","1",2,0,2.75283458300692,198,15,13,15,11,2,0.610331916992436,2.75482362500043,0.721212063860231,46,47,40,88,75,164,76,46,40,75,35,0,"0",0.270381801659462
"32",1,23,"S4-20.jpg","2",1,0,3.02202412500628,217,15,4,16,5,1,0.579449707991444,3.02445941700717,0.663787019121311,76,77,44,122,50,173,67,76,44,50,45,0,"0",0.677781709270143
"32",1,24,"S3-12.jpg","1",1,1,1.75745162498788,127,29,24,NA,NA,4,0.355764125008136,1.7598062499892,0.721212063860231,46,47,39,87,88,176,64,46,39,41,NA,0,"1",-1.68927271443659
"32",1,25,"S3-12.jpg","1",1,1,2.82364870799938,204,22,16,14,11,1,0.542007541007479,2.82603024999844,0.721212063860231,86,87,31,119,57,177,63,86,31,57,28,0,"1",0.381292154734607
"32",1,26,"S3-12.jpg","1",1,1,3.37463716701313,NA,12,8,31,23,4,0.878043707998586,2.82603024999844,0.721212063860231,54,55,30,86,84,171,69,54,30,84,70,1,"1",1.15970148671423
"32",1,27,"S4-20.jpg","2",1,0,2.99839866701222,216,22,6,6,2,1,0.673314749990823,3.00071104201197,0.663787019121311,64,65,60,126,56,183,57,64,60,56,34,0,"0",0.643509292666689
"32",1,28,"S3-12.jpg","1",2,0,3.56736312501016,NA,16,11,35,26,3,0.726946374998079,3.00071104201197,0.721212063860231,65,66,30,97,73,171,69,65,30,73,70,1,"0",1.40222645338794
"32",1,29,"S4-20.jpg","2",2,1,2.97038637500373,214,20,6,16,7,3,0.497213042006479,2.97217508300673,0.663787019121311,69,70,34,105,65,171,69,69,34,65,44,0,"1",0.602521441671982
"32",1,30,"S3-12.jpg","1",1,1,2.52741725000669,182,13,12,4,3,1,0.360628916998394,2.52944037500129,0.721212063860231,46,47,41,89,86,176,64,46,41,86,7,0,"1",-0.102684452213913
"33",1,1,"S2-19.jpg","1",2,0,2.10132291699983,150,15,7,NA,NA,NA,NA,2.10449149999999,0.52511848496802,55,56,31,88,67,156,84,55,31,63,NA,0,"0",-0.084742815212033
"33",1,2,"S2-19.jpg","1",1,1,1.53023137499986,110,16,3,NA,NA,NA,NA,1.53258066600006,0.52511848496802,54,55,33,89,71,161,79,54,33,22,NA,0,"1",-1.08399370921661
"33",1,3,"S1-15.jpg","2",2,1,1.38323987500007,93,16,11,NA,NA,NA,NA,1.38575329200012,0.754625511720623,47,48,32,81,70,152,88,47,32,13,NA,0,"1",-1.40218825485841
"33",1,4,"S1-15.jpg","2",2,1,1.02144087500005,65,0,0,NA,NA,NA,NA,1.02392262500007,0.754625511720623,88,89,34,124,52,177,63,65,NA,NA,NA,0,"1",-2.35753698808898
"33",1,5,"S2-19.jpg","1",2,0,0.91323516600005,57,0,0,NA,NA,NA,NA,0.916517541000076,0.52511848496802,56,57,31,89,82,172,68,56,1,NA,NA,0,"0",-2.71034442200404
