"subID","block","cueName","cueIdx","estimate","congImgIdx","sliderValue","cueConfidence","imgIdx_subjective","subjectiveCue","subjectiveCueOrder"
"32",1,"orange","1",75,1,25,NA,1,75,"2"
"32",1,"green","3",71,NA,71,2,2,71,"3"
"32",1,"purple","2",85,2,85,3,2,85,"1"
"35",1,"yellow","2",75,2,75,NA,2,75,"2"
"35",1,"red","3",60,NA,60,3,2,60,"3"
"35",1,"blue","1",85,1,15,4,1,85,"1"
"36",1,"yellow","1",80,1,20,3,1,80,"1"
"36",1,"red","3",80,NA,80,NA,2,80,"1"
"36",1,"blue","2",60,2,60,2,2,60,"3"
"37",1,"orange","1",50,1,50,2,NA,NA,NA
"37",1,"purple","2",72,2,72,2,2,72,NA
"37",1,"green","3",50,NA,50,3,NA,50,NA
"38",1,"orange","1",85,1,15,4,1,85,"1"
"38",1,"purple","3",45,NA,45,2,1,55,"3"
"38",1,"green","2",85,2,85,4,2,85,"1"
"39",1,"yellow","1",73,1,27,2,1,73,"2"
"39",1,"red","3",31,NA,31,2,1,69,"3"
"39",1,"blue","2",87,2,87,4,2,87,"1"
"40",1,"yellow","3",50,NA,50,2,NA,50,"3"
"40",1,"blue","1",75,1,25,2,1,75,"2"
"40",1,"red","2",90,2,90,4,2,90,"1"
"41",1,"red","1",63,1,37,1,1,63,"2"
"41",1,"blue","3",40,NA,40,1,1,60,"3"
"41",1,"yellow","2",90,2,90,3,2,90,"1"
"42",1,"orange","1",53,1,47,2,1,53,"3"
"42",1,"purple","3",60,NA,60,2,2,60,"2"
"42",1,"green","2",63,2,63,2,2,63,"1"
"43",1,"blue","3",70,NA,70,2,2,70,"1"
"43",1,"yellow","2",60,2,60,2,2,60,"3"
"43",1,"red","1",70,1,30,3,1,70,"1"
"44",1,"yellow","2",90,2,90,4,2,90,"2"
"44",1,"blue","3",0,NA,0,4,1,100,"1"
"44",1,"red","1",74,1,26,1,1,74,"3"
"45",1,"yellow","1",71,1,29,3,1,71,"3"
"45",1,"red","2",83,2,83,3,2,83,"1"
"45",1,"blue","3",18,NA,18,3,1,82,"2"
"46",1,"purple","2",80,2,80,3,2,80,"1"
"46",1,"green","3",29,NA,29,2,1,71,"3"
"46",1,"orange","1",80,1,20,3,1,80,"1"
"47",1,"red","2",70,2,70,1,2,70,"1"
"47",1,"yellow","1",55,1,45,3,1,55,"3"
"47",1,"blue","3",30,NA,30,2,1,70,"1"
"48",1,"yellow","3",65,NA,65,3,2,65,"3"
"48",1,"red","2",90,2,90,3,2,90,"1"
"48",1,"blue","1",90,1,10,4,1,90,"1"
"49",1,"green","2",96,2,96,4,2,96,"1"
"49",1,"orange","1",88,1,12,3,1,88,"2"
"49",1,"purple","3",85,NA,85,2,2,85,"3"
"50",1,"blue","3",55,NA,55,1,2,55,"3"
"50",1,"red","1",80,1,20,3,1,80,"1"
"50",1,"yellow","2",80,2,80,3,2,80,"1"
"51",1,"green","3",75,NA,75,3,2,75,"2"
"51",1,"purple","2",66,2,66,2,2,66,"3"
"51",1,"orange","1",82,1,18,3,1,82,"1"
"52",1,"purple","2",90,2,90,4,2,90,"1"
"52",1,"green","3",40,NA,40,2,1,60,"3"
"52",1,"orange","1",75,1,25,3,1,75,"2"
"53",1,"red","2",75,2,75,3,2,75,"2"
"53",1,"blue","1",90,1,10,4,1,90,"1"
"53",1,"yellow","3",54,NA,54,1,2,54,"3"
"54",1,"purple","1",23,1,77,2,2,23,"3"
"54",1,"green","3",25,NA,25,2,1,75,"1"
"54",1,"orange","2",30,2,30,2,1,30,"2"
