subID,cue,coherence,threshold,congruent,noise1Frames,signal1Frames,noise2Frames,signal2Frames,RT,rawChoice,forcedChoice,accumulatorDifference,vizDifference
4,0.5,0.52,10,1,79,40,91,422,227,1,1,2.32140069004873,4.12877570466029
4,0.5,0.52,10,1,80,25,80,447,413,0,0,0.883253916998852,5.69172124788557
4,0.5,0.52,10,1,95,50,89,398,401,0,0,12.8689181616731,0.899961229265275
4,0.5,0.52,10,1,78,23,75,456,297,0,0,1.2619012561151,4.49887252757801
4,0.5,0.52,10,1,85,23,97,427,632,NaN,1,3.95959032730733,2.62931774913573
4,0.5,0.52,10,1,77,31,77,447,469,1,1,12.8598015854954,0.935697100757274
4,0.5,0.52,10,1,102,23,85,422,445,0,0,18.6662801637516,4.20246634104027
4,0.5,0.52,10,1,270,27,79,256,413,0,0,5.11074348295384,3.20828471658537
4,0.5,0.52,10,1,75,218,93,246,119,0,0,1.07975981893284,5.89264144904234
4,0.5,0.52,10,1,76,33,95,428,305,0,0,0.578454729866143,5.27012759805751
4,0.5,0.52,10,1,93,26,81,432,329,1,1,5.60305506100419,2.4089599895814
4,0.5,0.52,10,1,107,23,102,400,581,0,0,3.01234051432144,6.75759370894863
4,0.5,0.52,10,1,87,23,81,441,369,0,0,2.51357704162719,6.31352944576957
4,0.5,0.52,10,1,90,54,78,410,269,0,0,5.78004587693563,2.12524772742338
4,0.5,0.52,10,1,84,29,77,442,227,1,1,0.069431943098798,5.11260318262379
4,0.5,0.52,10,1,82,48,103,399,632,NaN,1,0.243862945906008,1.44745517974296
4,0.5,0.52,10,1,86,47,92,407,525,1,1,8.65471702161343,0.688041847909304
4,0.5,0.52,10,1,105,30,84,413,443,1,1,5.64663814740014,2.40311394863132
4,0.5,0.52,10,1,103,34,84,411,277,1,1,1.40611495699353,4.74138827913411
4,0.5,0.52,10,1,83,28,101,420,369,1,1,11.0243211037921,0.459543392998395
4,0.5,0.52,10,1,97,31,75,429,632,NaN,1,1.58072378810439,1.41287065683041
4,0.5,0.52,10,1,92,51,96,393,632,NaN,1,22.3643723992082,10.6702717833046
4,0.5,0.52,10,1,75,37,82,438,632,NaN,1,9.06503311153288,3.59902425436559
4,0.5,0.52,10,1,104,23,76,429,157,1,1,3.62841717548364,7.21015359874808
4,0.5,0.52,10,1,83,46,80,423,401,1,1,2.24471942783682,6.32263534486533
4,0.5,0.52,10,0,75,32,88,437,205,0,0,1.53710660556117,5.77926861938834
