subID,block,trial,targetImg,targetIdx,cue_rgb,cue_string,congruent,respFrame,response,accuracy,RT,confResp,confRT,flickerDuration,noise1frames,signal1frames,noise2frames,coherence,catch_trial
 10, 1, 1, S3-12.jpg, 1, [10 144 240], blue, 0, 335, 2, 0, 5.8321, NaN, NaN, 5.8376,89,68,90,0.7703,0
 10, 1, 2, S4-20.jpg, 2, [240 37 33], red, 0, 178, 1, 0, 3.3199, 3, 1.8966, 3.3207,91,56,87,0.7324,1
 10, 1, 3, S3-12.jpg, 1, [240 37 33], red, 1, 162, 1, 1, 3.0587, 3, 1.8425, 3.0595,99,51,116,0.7703,0
 10, 1, 4, S3-12.jpg, 1, [10 144 240], blue, 0, 183, 1, 1, 3.2626, 3, 1.6873, 3.2633,86,23,85,0.7703,0
 10, 1, 5, S3-12.jpg, 1, [240 37 33], red, 1, 141, 2, 0, 2.5010, 3, 0.3282, 2.5017,101,26,84,0.7703,0
 10, 1, 6, S3-12.jpg, 1, [240 239 10], yellow, NaN, 166, 1, 1, 3.0437, 3, 0.6099, 3.0444,87,30,92,0.7703,0
 10, 1, 7, S3-12.jpg, 1, [240 239 10], yellow, NaN, 162, 2, 0, 2.9807, 2, 1.4512, 2.9815,85,37,81,0.7703,0
 10, 1, 8, S3-12.jpg, 1, [10 144 240], blue, 0, 142, 2, 0, 2.4700, 2, 0.9526, 2.4715,81,36,138,0.7703,0
 10, 1, 9, S3-12.jpg, 1, [10 144 240], blue, 0, 173, 1, 1, 3.1538, 2, 1.3328, 3.1546,107,35,77,0.7703,0
 10, 1, 10, S3-12.jpg, 1, [10 144 240], blue, 0, 166, 1, 1, 3.0742, 1, 1.4380, 3.0749,79,43,98,0.7703,0
 10, 1, 11, S3-12.jpg, 1, [240 239 10], yellow, NaN, 112, 1, 1, 2.1003, 2, 1.0249, 2.1012,75,45,79,0.7703,0
 10, 1, 12, S3-12.jpg, 1, [10 144 240], blue, 0, 225, 2, 0, 4.1179, 1, 0.5975, 4.1188,95,31,134,0.7703,0
 10, 1, 13, S3-12.jpg, 1, [240 37 33], red, 1, 220, 2, 0, 3.9741, 2, 2.5685, 3.9750,77,27,133,0.7703,0
 10, 1, 14, S3-12.jpg, 1, [10 144 240], blue, 0, 193, 1, 1, 3.3828, 2, 1.1653, 3.3837,75,54,86,0.7703,0
 10, 1, 15, S3-12.jpg, 1, [10 144 240], blue, 0, 209, 1, 1, 3.8225, 2, 0.8955, 3.8234,84,26,88,0.7703,0
 10, 1, 16, S3-12.jpg, 1, [240 37 33], red, 1, 233, 1, 1, 4.2286, 1, 1.1964, 4.2296,99,50,91,0.7703,0
 10, 1, 17, S3-12.jpg, 1, [240 239 10], yellow, NaN, 464, 2, 0, 8.1881, 1, 0.3050, 8.1896,117,32,83,0.7703,0
 10, 1, 18, S3-12.jpg, 1, [240 37 33], red, 1, 220, 1, 1, 3.9834, 2, 1.2385, 3.9843,109,25,94,0.7703,0
 10, 1, 19, S3-12.jpg, 1, [240 37 33], red, 1, 166, 1, 1, 3.0334, 2, 0.6055, 3.0345,110,73,103,0.7703,0
 10, 1, 20, S3-12.jpg, 1, [240 37 33], red, 1, 191, 1, 1, 3.4492, 2, 0.2593, 3.4499,83,24,101,0.7703,0
 10, 1, 21, S3-12.jpg, 1, [240 37 33], red, 1, 156, 1, 1, 2.8804, 2, 0.4559, 2.8819,79,45,79,0.7703,0
 10, 1, 22, S3-12.jpg, 1, [240 239 10], yellow, NaN, 203, 1, 1, 3.5813, 1, 2.1432, 3.5821,119,59,81,0.7703,0
 10, 1, 23, S3-12.jpg, 1, [240 37 33], red, 1, 243, 1, 1, 4.4253, 2, 0.3872, 4.4262,77,23,75,0.7703,0
 10, 1, 24, S3-12.jpg, 1, [240 37 33], red, 1, 209, 1, 1, 3.7498, 2, 1.0799, 3.7508,142,41,76,0.7703,1
 10, 1, 25, S3-12.jpg, 1, [240 239 10], yellow, NaN, 381, 1, 1, 6.6723, 1, 1.1172, 6.6732,84,29,97,0.7703,0
 10, 1, 26, S3-12.jpg, 1, [10 144 240], blue, 0, 421, 1, 1, 7.4039, 1, 0.6184, 7.4046,89,48,94,0.7703,0
 10, 1, 27, S3-12.jpg, 1, [240 37 33], red, 1, 313, 1, 1, 5.5988, 1, 0.7145, 5.5996,115,23,86,0.7703,0
 10, 1, 28, S3-12.jpg, 1, [240 37 33], red, 1, 372, 2, 0, 6.5891, 1, 1.4417, 6.5906,91,30,80,0.7703,0
 10, 1, 29, S3-12.jpg, 1, [240 239 10], yellow, NaN, 151, 1, 1, 2.7472, 2, 0.7787, 2.7481,115,29,106,0.7703,0
 10, 1, 30, S3-12.jpg, 1, [10 144 240], blue, 0, 369, 2, 0, 6.4996, 2, 1.2082, 6.5005,195,91,92,0.7703,0
 10, 1, 31, S3-12.jpg, 1, [10 144 240], blue, 0, 169, 2, 0, 3.1297, 3, 0.9646, 3.1307,88,23,76,0.7703,0
 10, 1, 32, S3-12.jpg, 1, [10 144 240], blue, 0, 157, 2, 0, 2.8578, 2, 0.3480, 2.8585,103,39,78,0.7703,0
 10, 1, 33, S3-12.jpg, 1, [10 144 240], blue, 0, 89, 1, 1, 1.6229, 2, 0.6682, 1.6237,94,55,86,0.7703,0
 10, 1, 34, S3-12.jpg, 1, [240 37 33], red, 1, 167, 1, 1, 3.0936, 1, 1.4565, 3.0946,78,25,120,0.7703,0
 10, 1, 35, S3-12.jpg, 1, [10 144 240], blue, 0, 192, 1, 1, 3.4810, 2, 1.3492, 3.4819,84,24,107,0.7703,0
 10, 1, 36, S3-12.jpg, 1, [240 37 33], red, 1, 174, 1, 1, 3.1889, 2, 0.6492, 3.1898,79,65,119,0.7703,0
 10, 1, 37, S3-12.jpg, 1, [240 239 10], yellow, NaN, 374, 2, 0, 6.6387, 2, 0.5294, 6.6402,105,56,87,0.7703,1
 10, 1, 38, S3-12.jpg, 1, [240 239 10], yellow, NaN, 55, 2, 0, 1.1229, 2, 0.5756, 1.1239,87,56,97,0.7703,0
 10, 1, 39, S3-12.jpg, 1, [240 37 33], red, 1, 188, 1, 1, 3.4267, 2, 0.8083, 3.4275,96,31,83,0.7703,0
 10, 1, 40, S3-12.jpg, 1, [10 144 240], blue, 0, 94, 1, 1, 1.7644, 2, 0.8501, 1.7653,110,40,83,0.7703,0
 10, 1, 41, S3-12.jpg, 1, [240 37 33], red, 1, 196, 2, 0, 3.5530, 2, 0.5873, 3.5537,80,38,195,0.7703,0
 10, 1, 42, S3-12.jpg, 1, [10 144 240], blue, 0, 65, 1, 1, 1.1350, 3, 1.3668, 1.1358,103,26,88,0.7703,0
 10, 1, 43, S3-12.jpg, 1, [240 37 33], red, 1, 60, 1, 1, 1.2221, 3, 0.9124, 1.2231,93,143,76,0.7703,0
 10, 1, 44, S3-12.jpg, 1, [10 144 240], blue, 0, 49, 1, 1, 0.9105, 3, 0.3772, 0.9115,77,25,79,0.7703,0
 10, 1, 45, S3-12.jpg, 1, [240 37 33], red, 1, 83, 1, 1, 1.6100, 4, 0.5373, 1.6109,90,44,102,0.7703,0
 10, 1, 46, S3-12.jpg, 1, [240 37 33], red, 1, 47, 1, 1, 0.9461, 4, 0.5270, 0.9468,82,32,84,0.7703,1
 10, 1, 47, S3-12.jpg, 1, [240 239 10], yellow, NaN, 51, 1, 1, 1.0286, 4, 0.4310, 1.0294,76,24,95,0.7703,0
 10, 1, 48, S3-12.jpg, 1, [10 144 240], blue, 0, 56, 1, 1, 1.1745, 4, 0.4482, 1.1754,77,34,91,0.7703,0
 10, 1, 49, S3-12.jpg, 1, [240 239 10], yellow, NaN, 47, 1, 1, 1.0072, 4, 0.3348, 1.0080,81,57,80,0.7703,0
 10, 1, 50, S3-12.jpg, 1, [240 37 33], red, 1, 82, 1, 1, 1.5704, 4, 0.2909, 1.5714,135,87,81,0.7703,0
