subID,block,trial,image,imageIdx,cue,congruent,response,accuracy,RT,cueDuration,learningRound
 21, 1, 1, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.7360, 1.2500, 2
 21, 1, 2, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.9956, 3.2500, 2
 21, 1, 3, S1-15.jpg, 1, 1, red, 1, 2, 0, 1.4164, 1.2833, 2
 21, 1, 4, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.4997, 1.5500, 2
 21, 1, 5, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.6370, 1.4000, 2
 21, 1, 6, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5634, 1.2500, 2
 21, 1, 7, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.3205, 1.3167, 2
 21, 1, 8, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.7454, 1.4333, 2
 21, 1, 9, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.5352, 1.3333, 2
 21, 1, 10, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.5362, 1.2500, 2
 21, 1, 11, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.4928, 1.3500, 2
 21, 1, 12, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.5178, 1.5833, 2
 21, 1, 13, S2-19.jpg, 2, 1, red, 0, 2, 1, 0.5973, 1.2500, 2
 21, 1, 14, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.6019, 1.4500, 2
 21, 1, 15, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.9744, 1.3000, 2
 21, 1, 16, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.7057, 1.5667, 2
 21, 1, 17, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.4419, 1.5000, 2
 21, 1, 18, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.6759, 1.4833, 2
 21, 1, 19, S1-15.jpg, 1, 2, blue, 0, 2, 0, 1.0793, 1.2500, 2
 21, 1, 20, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.8368, 1.2500, 2
 21, 1, 21, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.4650, 1.3667, 2
 21, 1, 22, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.5776, 1.2500, 2
 21, 1, 23, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.9018, 1.5167, 2
 21, 1, 24, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.6240, 1.4167, 2
 21, 1, 25, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.4782, 1.2500, 2
 21, 1, 26, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.5942, 1.4667, 2
 21, 1, 27, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.3818, 1.6000, 2
 21, 1, 28, S2-19.jpg, 2, 1, red, 0, 1, 0, 0.6209, 1.3833, 2
 21, 1, 29, S1-15.jpg, 1, 2, blue, 0, 2, 0, 0.6761, 1.5333, 2
 21, 1, 30, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.5255, 1.6167, 2
 21, 1, 1, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.3546, 1.2500, 2
 21, 1, 2, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5593, 3.2500, 2
 21, 1, 3, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.4045, 1.2833, 2
 21, 1, 4, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.6717, 1.5500, 2
 21, 1, 5, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 1.2643, 1.4000, 2
 21, 1, 6, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5181, 1.2500, 2
 21, 1, 7, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.3471, 1.3167, 2
