subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 21, 1, 1, S2-19.jpg, 2, 2, 1, 5.343204e-01, 
 21, 1, 2, S1-15.jpg, 1, 1, 1, 5.168986e-01, 
 21, 1, 3, S1-15.jpg, 1, 1, 1, 7.500704e-01, 
 21, 1, 4, S2-19.jpg, 2, 2, 1, 5.500344e-01, 
 21, 1, 5, S2-19.jpg, 2, 2, 1, 7.333639e-01, 
 21, 1, 6, S2-19.jpg, 2, 2, 1, 5.999929e-01, 
 21, 1, 7, S2-19.jpg, 2, 2, 1, 6.500285e-01, 
 21, 1, 8, S1-15.jpg, 1, 1, 1, 4.668588e-01, 
 21, 1, 9, S2-19.jpg, 2, 2, 1, 3.183713e-01, 
 21, 1, 10, S2-19.jpg, 2, 2, 1, 4.000462e-01, 
 21, 1, 11, S1-15.jpg, 1, 1, 1, 6.335661e-01, 
 21, 1, 12, S1-15.jpg, 1, 1, 1, 6.330121e-01, 
 21, 1, 13, S2-19.jpg, 2, 2, 1, 5.666368e-01, 
 21, 1, 14, S2-19.jpg, 2, 2, 1, 4.668980e-01, 
 21, 1, 15, S1-15.jpg, 1, 1, 1, 5.665695e-01, 
 21, 1, 16, S1-15.jpg, 1, 1, 1, 8.166152e-01, 
 21, 1, 17, S1-15.jpg, 1, 1, 1, 6.166895e-01, 
 21, 1, 18, S1-15.jpg, 1, 1, 1, 7.673151e-01, 
 21, 1, 19, S2-19.jpg, 2, 2, 1, 6.166794e-01, 
 21, 1, 20, S1-15.jpg, 1, 1, 1, 4.667199e-01, 
