subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 10, 1, 1, S1-15.jpg, NaN, 1, 0, NaN, 
 10, 1, 2, S2-19.jpg, 2, 2, 1, 1.534248e+00, 
 10, 1, 3, S1-15.jpg, 1, 1, 1, 6.579427e-01, 
 10, 1, 4, S2-19.jpg, NaN, 2, 0, NaN, 
 10, 1, 5, S2-19.jpg, 2, 2, 1, 6.473846e-01, 
 10, 1, 6, S2-19.jpg, 2, 2, 1, 6.922338e-01, 
 10, 1, 7, S2-19.jpg, 2, 2, 1, 6.760442e-01, 
 10, 1, 8, S1-15.jpg, 1, 1, 1, 1.016610e+00, 
 10, 1, 9, S1-15.jpg, 1, 1, 1, 9.002192e-01, 
 10, 1, 10, S1-15.jpg, 1, 1, 1, 6.255130e-01, 
 10, 1, 11, S2-19.jpg, 2, 2, 1, 8.165458e-01, 
 10, 1, 12, S1-15.jpg, 1, 1, 1, 7.327502e-01, 
 10, 1, 13, S1-15.jpg, 1, 1, 1, 9.719373e-01, 
 10, 1, 14, S2-19.jpg, 2, 2, 1, 8.099117e-01, 
 10, 1, 15, S2-19.jpg, NaN, 2, 0, NaN, 
 10, 1, 16, S1-15.jpg, 2, 1, 0, 1.523588e+00, 
 10, 1, 17, S1-15.jpg, 1, 1, 1, 6.191339e-01, 
 10, 1, 18, S2-19.jpg, 2, 2, 1, 1.527328e+00, 
 10, 1, 19, S2-19.jpg, 2, 2, 1, 6.086495e-01, 
 10, 1, 20, S1-15.jpg, 1, 1, 1, 8.088782e-01, 
