subID,block,trial,targetImage,targetIdx,coherence,respFrame,response,accuracy,RT,flickerDuration
 11, 1, 1, S2-19.jpg, 2, 0.63, 136, 1, 0, 1.8321, 1.8345
 11, 1, 2, S1-15.jpg, 1, 0.53, 158, 2, 0, 2.1169, 2.1177
 11, 1, 3, S2-19.jpg, 2, 0.71, 151, 1, 0, 2.0202, 2.0217
 11, 1, 4, S2-19.jpg, 2, 0.53, 189, 1, 0, 2.5238, 2.5248
 11, 1, 5, S1-15.jpg, 1, 0.63, 158, 2, 0, 2.1132, 2.1142
 11, 1, 6, S2-19.jpg, 2, 0.61, 233, 2, 1, 3.1124, 3.1138
 11, 1, 7, S1-15.jpg, 1, 0.71, 267, 1, 1, 3.5651, 3.5661
 11, 1, 8, S2-19.jpg, 2, 0.59, 148, 1, 0, 1.9798, 1.9813
 11, 1, 9, S2-19.jpg, 2, 0.76, 175, 1, 0, 2.3379, 2.3389
 11, 1, 10, S1-15.jpg, 1, 0.61, 292, 1, 1, 3.8988, 3.8997
 11, 1, 11, S2-19.jpg, 2, 0.79, 162, 2, 1, 2.1661, 2.1670
 11, 1, 12, S1-15.jpg, 1, 0.59, 160, 2, 0, 2.1399, 2.1409
 11, 1, 13, S2-19.jpg, 2, 0.78, 246, 1, 0, 3.3253, 3.3262
 11, 1, 14, S1-15.jpg, 1, 0.64, 209, 2, 0, 2.8194, 2.8203
 11, 1, 15, S1-15.jpg, 1, 0.69, 347, 1, 1, 4.6461, 4.6469
 11, 1, 16, S1-15.jpg, 1, 0.67, 148, 1, 1, 1.9804, 1.9813
 11, 1, 17, S1-15.jpg, 1, 0.67, 287, 2, 0, 3.8326, 3.8340
 11, 1, 18, S1-15.jpg, 1, 0.66, 198, 2, 0, 2.6451, 2.6461
 11, 1, 19, S1-15.jpg, 1, 0.72, 92, 1, 1, 1.2335, 1.2343
 11, 1, 20, S1-15.jpg, 1, 0.69, 340, 1, 1, 4.5395, 4.5405
 11, 1, 21, S2-19.jpg, 2, 0.80, 154, 2, 1, 2.0597, 2.0612
 11, 1, 22, S2-19.jpg, 2, 0.64, 81, 1, 0, 1.0850, 1.0860
 11, 1, 23, S1-15.jpg, 1, 0.71, 150, 1, 1, 2.0193, 2.0200
 11, 1, 24, S2-19.jpg, 2, 0.67, 381, 1, 0, 5.0863, 5.0873
 11, 1, 25, S1-15.jpg, 1, 0.69, 202, 1, 1, 2.7116, 2.7124
 11, 1, 26, S2-19.jpg, 2, 0.69, 312, 1, 0, 4.1931, 4.1939
 11, 1, 27, S2-19.jpg, 2, 0.79, 284, 2, 1, 3.8066, 3.8079
 11, 1, 28, S1-15.jpg, 1, 0.68, 134, 1, 1, 1.8055, 1.8063
 11, 1, 29, S1-15.jpg, 1, 0.67, 174, 2, 0, 2.3672, 2.3687
 11, 1, 30, S2-19.jpg, 2, 0.71, 199, 2, 1, 2.6712, 2.6722
 11, 1, 31, S1-15.jpg, 1, 0.71, 212, 2, 0, 2.8327, 2.8336
 11, 1, 32, S2-19.jpg, 2, 0.70, 308, 1, 0, 4.1029, 4.1038
 11, 1, 33, S1-15.jpg, 1, 0.74, 159, 2, 0, 2.1350, 2.1357
 11, 1, 34, S1-15.jpg, 1, 0.67, 403, 1, 1, 5.3795, 5.3802
 11, 1, 35, S2-19.jpg, 2, 0.78, 175, 2, 1, 2.3373, 2.3381
 11, 1, 36, S2-19.jpg, 2, 0.71, 288, 2, 1, 3.8441, 3.8450
 11, 1, 37, S2-19.jpg, 2, 0.78, 124, 2, 1, 1.6548, 1.6562
 11, 1, 38, S2-19.jpg, 2, 0.71, 227, 1, 0, 3.0346, 3.0357
 11, 1, 39, S2-19.jpg, 2, 0.77, 316, 2, 1, 4.2099, 4.2108
 11, 1, 40, S2-19.jpg, 2, 0.72, 198, 2, 1, 2.6413, 2.6423
 11, 1, 41, S2-19.jpg, 2, 0.76, 149, 2, 1, 1.9843, 1.9857
 11, 1, 42, S1-15.jpg, 1, 0.66, 160, 1, 1, 2.1542, 2.1551
 11, 1, 43, S1-15.jpg, 1, 0.77, 224, 1, 1, 3.0019, 3.0026
