subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 11, 1, 1, S2-19.jpg, 2, 2, 1, 1.892711e+00, 
 11, 1, 2, S1-15.jpg, 1, 1, 1, 6.004661e-01, 
 11, 1, 3, S1-15.jpg, 1, 1, 1, 9.066627e-01, 
 11, 1, 4, S2-19.jpg, 2, 2, 1, 4.664682e-01, 
 11, 1, 5, S1-15.jpg, 1, 1, 1, 6.400208e-01, 
 11, 1, 6, S2-19.jpg, 2, 2, 1, 5.065872e-01, 
 11, 1, 7, S1-15.jpg, 1, 1, 1, 7.597531e-01, 
 11, 1, 8, S1-15.jpg, 1, 1, 1, 7.602074e-01, 
 11, 1, 9, S2-19.jpg, 2, 2, 1, 4.800762e-01, 
 11, 1, 10, S2-19.jpg, 2, 2, 1, 6.934802e-01, 
