subID,block,trial,targetImg,targetIdx,cue_rgb,cue_string,congruent,respFrame,response,accuracy,RT,confResp,confRT,flickerDuration,noise1frames,signal1frames,noise2frames,coherence,catch_trial
 16, 1, 1, S1-15.jpg, 1, [181 10 240], purple, 1, 179, 2, 0, 3.1272, 1, 1.6567, 3.1334,89,25,87,0.7857,0
 16, 1, 2, S2-19.jpg, 2, [10 240 94], green, 1, 231, 2, 1, 4.0252, 1, 0.5841, 4.0263,91,31,104,0.7019,0
 16, 1, 3, S2-19.jpg, 2, [10 240 94], green, 1, 259, 1, 0, 4.5481, 2, 0.4283, 4.5488,89,27,80,0.7019,0
 16, 1, 4, S1-15.jpg, 1, [10 240 94], green, 0, 141, 2, 0, 2.4378, 2, 0.8344, 2.4386,139,31,85,0.7857,0
 16, 1, 5, S2-19.jpg, 2, [10 240 94], green, 1, 269, 1, 0, 4.6624, 1, 0.5840, 4.6632,138,25,81,0.7019,0
 16, 1, 6, S1-15.jpg, 1, [10 240 94], green, 0, 313, 2, 0, 5.4477, 1, 0.4085, 5.4485,79,33,86,0.7857,0
 16, 1, 7, S2-19.jpg, 2, [10 240 94], green, 1, 372, 2, 1, 6.4525, 2, 0.5594, 6.4533,96,27,76,0.7019,0
 16, 1, 8, S2-19.jpg, 2, [10 240 94], green, 1, 346, 2, 1, 6.0098, 2, 0.7373, 6.0105,94,51,88,0.7019,0
 16, 1, 9, S2-19.jpg, 2, [10 240 94], green, 1, 355, 1, 0, 6.1817, 1, 0.5514, 6.1826,86,58,90,0.7019,0
 16, 1, 10, S2-19.jpg, 2, [10 240 94], green, 1, 351, 2, 1, 6.0967, 1, 1.2238, 6.0976,127,36,113,0.7019,0
 16, 1, 11, S1-15.jpg, 1, [10 240 94], green, 0, 250, 2, 0, 4.3428, 3, 0.4669, 4.3436,84,62,83,0.7857,1
 16, 1, 12, S1-15.jpg, 1, [181 10 240], purple, 1, 304, 2, 0, 5.3020, 2, 0.4545, 5.3028,77,38,78,0.7857,0
 16, 1, 13, S1-15.jpg, 1, [240 168 10], orange, NaN, 224, 1, 1, 3.9266, 3, 0.7294, 3.9280,107,26,90,0.7857,1
 16, 1, 14, S2-19.jpg, 2, [10 240 94], green, 1, 398, 1, 0, 6.8997, 1, 0.5531, 6.9005,104,38,102,0.7019,0
 16, 1, 15, S2-19.jpg, 2, [10 240 94], green, 1, 292, 1, 0, 5.0604, 3, 0.3526, 5.0612,81,53,77,0.7019,0
 16, 1, 16, S1-15.jpg, 1, [240 168 10], orange, NaN, 229, 1, 1, 4.0006, 3, 0.1803, 4.0014,95,81,82,0.7857,0
 16, 1, 17, S1-15.jpg, 1, [240 168 10], orange, NaN, 436, 2, 0, 7.5684, 1, 0.8797, 7.5691,103,31,76,0.7857,0
