subID,block,trial,image,imageIdx,cueIdx,cue_string,congruent,response,accuracy,RT,cueDuration,learningRound
14,1,1, S3-12.jpg,1,1, purple,1,1,1,2.5343,1.5667,2
14,1,2, S3-12.jpg,1,1, purple,1,1,1,1.9901,1.3,2
14,1,3, S3-12.jpg,1,3, orange, NaN,1,1,2.0379,1.3833,2
14,1,4, S3-12.jpg,1,3, orange, NaN,1,1,1.9752,1.25,2
14,1,5, S4-20.jpg,2,3, orange, NaN,2,1,2.2796,1.55,2
14,1,6, S3-12.jpg,1,2, green,0,1,1,2.4364,1.25,2
14,1,7, S3-12.jpg,1,1, purple,1,1,1,2.4404,1.6167,2
14,1,8, S3-12.jpg,1,3, orange, NaN,1,1,2.0876,1.35,2
14,1,9, S3-12.jpg,1,3, orange, NaN,1,1,1.8668,1.25,2
14,1,10, S4-20.jpg,2,3, orange, NaN,2,1,2.1839,1.4667,2
14,1,11, S3-12.jpg,1,2, green,0,1,1,2.1923,1.25,2
14,1,12, S3-12.jpg,1,3, orange, NaN,1,1,2.1218,1.5333,2
14,1,13, S4-20.jpg,2,1, purple,0,2,1,2.0358,1.4333,2
14,1,14, S3-12.jpg,1,1, purple,1,1,1,2.6588,1.6,2
14,1,15, S4-20.jpg,2,1, purple,0,2,1,2.2746,1.5167,2
14,1,16, S4-20.jpg,2,1, purple,0,2,1,2.0353,1.3667,2
14,1,17, S4-20.jpg,2,1, purple,0,2,1,1.8797,1.4167,2
14,1,18, S3-12.jpg,1,2, green,0,1,1,1.8794,1.25,2
14,1,19, S3-12.jpg,1,2, green,0,1,1,2.3544,1.4833,2
14,1,20, S4-20.jpg,2,2, green,1,2,1,1.7973,1.25,2
14,1,21, S3-12.jpg,1,2, green,0,1,1,2.2798,1.4,2
14,1,22, S4-20.jpg,2,3, orange, NaN,2,1,2.2961,1.5,2
14,1,23, S4-20.jpg,2,2, green,1,2,1,1.973,1.2833,2
14,1,24, S4-20.jpg,2,3, orange, NaN,2,1,2.1062,1.25,2
14,1,25, S3-12.jpg,1,2, green,0,1,1,1.9951,1.3333,2
14,1,26, S4-20.jpg,2,1, purple,0,2,1,3.9045,3.25,2
14,1,27, S4-20.jpg,2,2, green,1,2,1,2.2395,1.5833,2
14,1,28, S4-20.jpg,2,1, purple,0,2,1,2.0939,1.45,2
14,1,29, S4-20.jpg,2,2, green,1,2,1,1.8997,1.25,2
14,1,30, S4-20.jpg,2,3, orange, NaN,2,1,1.8929,1.3167,2
14,1,1, S3-12.jpg,1,1, purple,1,1,1,2.3326,1.5667,2
14,1,2, S3-12.jpg,1,1, purple,1,1,1,2.1859,1.3,2
14,1,3, S3-12.jpg,1,3, orange, NaN,1,1,2.2278,1.3833,2
14,1,4, S3-12.jpg,1,3, orange, NaN,1,1,1.9265,1.25,2
14,1,5, S4-20.jpg,2,3, orange, NaN,2,1,2.2345,1.55,2
14,1,6, S3-12.jpg,1,2, green,0,1,1,2.5002,1.25,2
14,1,7, S3-12.jpg,1,1, purple,1,1,1,2.3587,1.6167,2
14,1,8, S3-12.jpg,1,3, orange, NaN,1,1,1.9863,1.35,2
14,1,9, S3-12.jpg,1,3, orange, NaN,1,1,2.1871,1.25,2
14,1,10, S4-20.jpg,2,3, orange, NaN,2,1,2.2486,1.4667,2
14,1,11, S3-12.jpg,1,2, green,0,1,1,1.9837,1.25,2
14,1,12, S3-12.jpg,1,3, orange, NaN,1,1,2.1944,1.5333,2
14,1,13, S4-20.jpg,2,1, purple,0,2,1,2.5456,1.4333,2
14,1,14, S3-12.jpg,1,1, purple,1,1,1,2.6587,1.6,2
