subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 20, 1, 1, S2-19.jpg, NaN, 2, 0, NaN, 
 20, 1, 2, S1-15.jpg, 2, 1, 0, 4.509901e-01, 
 20, 1, 3, S1-15.jpg, 1, 1, 1, 5.503301e-01, 
 20, 1, 4, S2-19.jpg, 2, 2, 1, 6.333787e-01, 
 20, 1, 5, S2-19.jpg, 2, 2, 1, 6.665272e-01, 
 20, 1, 6, S2-19.jpg, 2, 2, 1, 5.238795e-01, 
 20, 1, 7, S2-19.jpg, 2, 2, 1, 5.002980e-01, 
 20, 1, 8, S1-15.jpg, 1, 1, 1, 6.834281e-01, 
 20, 1, 9, S2-19.jpg, 2, 2, 1, 6.000072e-01, 
 20, 1, 10, S2-19.jpg, 2, 2, 1, 4.833598e-01, 
 20, 1, 11, S1-15.jpg, 1, 1, 1, 7.835375e-01, 
 20, 1, 12, S1-15.jpg, 1, 1, 1, 5.497680e-01, 
 20, 1, 13, S2-19.jpg, 2, 2, 1, 4.833646e-01, 
 20, 1, 14, S2-19.jpg, 2, 2, 1, 4.340938e-01, 
 20, 1, 15, S1-15.jpg, 1, 1, 1, 6.335838e-01, 
 20, 1, 16, S1-15.jpg, 1, 1, 1, 7.168915e-01, 
 20, 1, 17, S1-15.jpg, 1, 1, 1, 7.498179e-01, 
 20, 1, 18, S1-15.jpg, 1, 1, 1, 5.168520e-01, 
 20, 1, 19, S2-19.jpg, 2, 2, 1, 6.831578e-01, 
 20, 1, 20, S1-15.jpg, 1, 1, 1, 4.844167e-01, 
