subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 29, 1, 1, S2-19.jpg, 2, 2, 1, 9.064222e-01, 
 29, 1, 2, S1-15.jpg, 1, 1, 1, 5.534620e-01, 
 29, 1, 3, S2-19.jpg, 2, 2, 1, 4.515568e-01, 
 29, 1, 4, S1-15.jpg, 1, 1, 1, 5.710792e-01, 
 29, 1, 5, S1-15.jpg, 1, 1, 1, 5.569485e-01, 
 29, 1, 6, S2-19.jpg, 2, 2, 1, 5.449856e-01, 
 29, 1, 7, S2-19.jpg, 2, 2, 1, 4.392818e-01, 
 29, 1, 8, S2-19.jpg, 2, 2, 1, 4.479762e-01, 
 29, 1, 9, S1-15.jpg, 1, 1, 1, 5.249468e-01, 
 29, 1, 10, S1-15.jpg, 1, 1, 1, 4.748475e-01, 
