subID,cueIdx,cue_string,estimate
12,1,purple,0.7
12,2,green,0.7
12,3,orange,0.5
13,1,red,0.7
13,2,blue,0.7
13,3,yellow,0.4
14,1,purple,0.6
14,2,green,0.7
14,3,orange,0.4
15,1,red,0.3
15,2,blue,0.4
15,3,yellow,0.5
17,1,purple,0.85
17,2,green,0.6
17,3,orange,0.5
18,1,purple,0.8
18,2,green,0.8
18,3,orange,0.5
19,1,purple,0.9
19,2,green,0.67
19,3,orange,0.85
20,1,purple,0.85
20,2,green,0.85
20,3,orange,0.5
22,1,red,0.4
22,2,blue,0.7
22,3,yellow,0.3
23,1,purple,0.9
23,2,green,0.8
23,3,orange,0.3
24,1,purple,
24,2,green,
24,3,orange,
25,1,purple,0.5
25,2,green,0.7
25,3,orange,0.7
26,1,green,0.47
26,2,orange,0.2
26,3,purple,0.8
27,1,purple,0.65
27,2,orange,0.65
27,3,green,0.4
28,1,yellow,0.35
28,2,blue,0.6
28,3,red,0.45
29,1,purple,0.9
29,2,green,0.7
29,3,orange,0.3
