subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 12, 1, 1, S2-19.jpg, 2, 2, 1, 1.066282e+00, 
 12, 1, 2, S2-19.jpg, 2, 2, 1, 5.999473e-01, 
 12, 1, 3, S1-15.jpg, 1, 1, 1, 5.199102e-01, 
 12, 1, 4, S1-15.jpg, 1, 1, 1, 6.664249e-01, 
 12, 1, 5, S1-15.jpg, 1, 1, 1, 8.130005e-01, 
 12, 1, 6, S1-15.jpg, 1, 1, 1, 5.332849e-01, 
 12, 1, 7, S2-19.jpg, 2, 2, 1, 6.261943e-01, 
 12, 1, 8, S2-19.jpg, 2, 2, 1, 6.666501e-01, 
 12, 1, 9, S1-15.jpg, 1, 1, 1, 5.868823e-01, 
 12, 1, 10, S2-19.jpg, 2, 2, 1, 5.465809e-01, 
