subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 18, 1, 1, S2-19.jpg, 1, 2, 0, 1.535817e+00, 
 18, 1, 2, S1-15.jpg, 1, 1, 1, 9.067655e-01, 
 18, 1, 3, S1-15.jpg, 1, 1, 1, 5.464106e-01, 
 18, 1, 4, S2-19.jpg, 2, 2, 1, 6.268721e-01, 
 18, 1, 5, S2-19.jpg, 2, 2, 1, 5.466024e-01, 
 18, 1, 6, S2-19.jpg, 2, 2, 1, 6.532045e-01, 
 18, 1, 7, S2-19.jpg, 2, 2, 1, 6.535679e-01, 
 18, 1, 8, S1-15.jpg, 1, 1, 1, 8.529348e-01, 
 18, 1, 9, S2-19.jpg, 2, 2, 1, 6.132916e-01, 
 18, 1, 10, S2-19.jpg, 2, 2, 1, 4.534021e-01, 
 18, 1, 11, S1-15.jpg, 1, 1, 1, 5.597278e-01, 
 18, 1, 12, S1-15.jpg, 1, 1, 1, 4.136471e-01, 
 18, 1, 13, S2-19.jpg, 1, 2, 0, 4.677397e-01, 
 18, 1, 14, S2-19.jpg, 2, 2, 1, 4.667502e-01, 
 18, 1, 15, S1-15.jpg, 1, 1, 1, 6.396700e-01, 
 18, 1, 16, S1-15.jpg, 1, 1, 1, 4.930876e-01, 
 18, 1, 17, S1-15.jpg, 1, 1, 1, 4.398616e-01, 
 18, 1, 18, S1-15.jpg, 1, 1, 1, 4.934692e-01, 
 18, 1, 19, S2-19.jpg, 2, 2, 1, 6.007883e-01, 
 18, 1, 20, S1-15.jpg, 1, 1, 1, 4.933289e-01, 
