subID,block,trial,targetImg,targetIdx,cue_rgb,cue_string,congruent,respFrame,response,accuracy,RT,confResp,confRT,flickerDuration,noise1frames,signal1frames,noise2frames,coherence,catch_trial
23,1,1, S4-20.jpg,2, [10 240 94], green,1,177,1,0,3.2162,3,1.9899,3.2203,102,65,80,0.5522,0
23,1,2, S3-12.jpg,1, [181 10 240], purple,1,257,1,1,4.602,2,0.5024,4.6028,88,47,97,0.5766,0
23,1,3, S3-12.jpg,1, [181 10 240], purple,1,206,1,1,3.6959,3,0.327,3.6974,101,56,86,0.5766,0
23,1,4, S4-20.jpg,2, [10 240 94], green,1,310,2,1,5.5852,2,1.2041,5.586,96,45,104,0.5522,0
23,1,5, S4-20.jpg,2, [10 240 94], green,1,160,2,1,2.8943,2,0.6069,2.8951,99,26,82,0.5522,0
23,1,6, S4-20.jpg,2, [10 240 94], green,1,426,1,0,7.609,2,0.5757,7.6099,81,59,79,0.5522,0
23,1,7, S3-12.jpg,1, [181 10 240], purple,1,249,1,1,4.4732,3,0.431,4.4742,93,43,138,0.5766,0
23,1,8, S3-12.jpg,1, [181 10 240], purple,1,81,1,1,1.4538,3,0.2434,1.4545,131,31,82,0.5766,1
23,1,9, S3-12.jpg,1, [181 10 240], purple,1,351,1,1,6.2852,3,0.415,6.2861,116,29,90,0.5766,0
23,1,10, S3-12.jpg,1, [240 168 10], orange, NaN,365,2,0,6.5997,2,0.2866,6.6004,80,43,80,0.5766,0
23,1,11, S4-20.jpg,2, [240 168 10], orange, NaN,434,1,0,7.76,2,1.2305,7.761,76,60,81,0.5522,0
23,1,12, S3-12.jpg,1, [181 10 240], purple,1,485,1,1,8.7224,2,0.3047,8.7233,94,37,135,0.5766,0
23,1,13, S3-12.jpg,1, [181 10 240], purple,1,337,1,1,6.0431,2,0.7071,6.044,100,29,86,0.5766,0
23,1,14, S4-20.jpg,2, [10 240 94], green,1,534,1,0,9.5416,2,0.5949,9.5427,93,36,86,0.5522,0
23,1,15, S3-12.jpg,1, [10 240 94], green,0, NaN,1,1,9.8622,2,0.3945,9.6619,98,47,112,0.5766,0
23,1,16, S4-20.jpg,2, [10 240 94], green,1,266,2,1,4.7598,1,0.1887,4.7607,89,29,80,0.5522,0
23,1,17, S4-20.jpg,2, [240 168 10], orange, NaN,427,2,1,7.6501,2,0.3561,7.651,92,37,89,0.5522,0
23,1,18, S4-20.jpg,2, [181 10 240], purple,0,308,1,0,5.5497,1,0.3601,5.5507,80,23,76,0.5522,1
23,1,19, S3-12.jpg,1, [181 10 240], purple,1,64,1,1,1.2125,3,0.0071,1.2134,78,61,84,0.5766,0
23,1,20, S4-20.jpg,2, [10 240 94], green,1,430,1,0,7.6959,1,0.4369,7.6968,93,38,92,0.5522,0
23,1,21, S4-20.jpg,2, [10 240 94], green,1,459,2,1,8.2238,2,0.1965,8.2246,94,75,100,0.5522,0
23,1,22, S4-20.jpg,2, [10 240 94], green,1,518,2,1,9.2406,2,0.628,9.2414,83,51,91,0.5522,0
23,1,23, S3-12.jpg,1, [181 10 240], purple,1,235,1,1,4.2361,2,0.1063,4.2369,87,67,108,0.5766,0
23,1,24, S3-12.jpg,1, [240 168 10], orange, NaN,384,1,1,6.9001,3,0.2173,6.9008,95,30,81,0.5766,0
23,1,25, S4-20.jpg,2, [10 240 94], green,1,539,2,1,9.6314,3,0.2478,9.6321,85,30,102,0.5522,0
23,1,26, S4-20.jpg,2, [181 10 240], purple,0,130,1,0,2.338,3,0.4395,2.3394,79,80,90,0.5522,0
23,1,27, S3-12.jpg,1, [181 10 240], purple,1,33,1,1,0.607,3,0.1728,0.6078,97,28,136,0.5766,0
23,1,28, S3-12.jpg,1, [10 240 94], green,0,490,2,0,8.8057,2,0.7105,8.8065,82,89,81,0.5766,0
23,1,29, S3-12.jpg,1, [181 10 240], purple,1,61,1,1,1.1187,3,0.1081,1.1194,117,27,84,0.5766,0
23,1,30, S3-12.jpg,1, [181 10 240], purple,1,28,1,1,0.4807,3,0.1628,0.4816,105,32,90,0.5766,0
23,1,31, S4-20.jpg,2, [240 168 10], orange, NaN,58,2,1,1.0434,2,0.2006,1.0444,113,31,113,0.5522,1
23,1,32, S4-20.jpg,2, [10 240 94], green,1,445,2,1,7.9943,1,0.6643,7.995,77,25,100,0.5522,0
23,1,33, S3-12.jpg,1, [181 10 240], purple,1,44,1,1,0.8155,3,0.1873,0.8162,107,26,104,0.5766,1
23,1,34, S4-20.jpg,2, [10 240 94], green,1,103,2,1,1.8748,4,0.2426,1.8756,79,31,84,0.5522,0
23,1,35, S3-12.jpg,1, [181 10 240], purple,1,46,1,1,0.8124,4,0.1119,0.8132,89,36,114,0.5766,0
23,1,36, S3-12.jpg,1, [181 10 240], purple,1,33,1,1,0.5762,4,0.2894,0.5769,114,25,90,0.5766,0
23,1,37, S3-12.jpg,1, [181 10 240], purple,1,30,1,1,0.5198,4,0.158,0.5206,76,25,96,0.5766,0
23,1,38, S4-20.jpg,2, [10 240 94], green,1,125,2,1,2.2372,2,0.7741,2.2382,81,36,83,0.5522,0
23,1,39, S4-20.jpg,2, [240 168 10], orange, NaN,74,2,1,1.3367,4,0.2216,1.3377,109,30,78,0.5522,0
23,1,40, S3-12.jpg,1, [181 10 240], purple,1,52,1,1,0.9264,4,0.1263,0.9272,98,47,98,0.5766,0
23,1,41, S4-20.jpg,2, [10 240 94], green,1,70,2,1,1.2623,4,0.166,1.2633,124,24,77,0.5522,0
23,1,42, S3-12.jpg,1, [181 10 240], purple,1,132,1,1,2.3897,4,0.016,2.3904,127,50,77,0.5766,0
23,1,43, S4-20.jpg,2, [240 168 10], orange, NaN,82,2,1,1.4906,4,0.1456,1.4914,119,45,88,0.5522,0
23,1,44, S3-12.jpg,1, [10 240 94], green,0,66,2,0,1.2128,4,0.3399,1.2135,81,35,92,0.5766,0
23,1,45, S4-20.jpg,2, [10 240 94], green,1,29,2,1,0.5266,1,0.1838,0.5273,95,34,97,0.5522,0
23,1,46, S4-20.jpg,2, [181 10 240], purple,0,41,1,0,0.7906,1,0.0941,0.7915,82,29,82,0.5522,0
23,1,47, S4-20.jpg,2, [240 168 10], orange, NaN,59,2,1,1.0623,3,0.1271,1.0632,101,143,83,0.5522,1
23,1,48, S4-20.jpg,2, [240 168 10], orange, NaN,54,2,1,0.9633,3,0.1214,0.9643,87,40,79,0.5522,0
23,1,49, S3-12.jpg,1, [181 10 240], purple,1,42,1,1,0.757,3,0.2455,0.7578,107,60,95,0.5766,0
23,1,50, S3-12.jpg,1, [181 10 240], purple,1,74,1,1,1.3668,3,0.2437,1.3676,97,36,78,0.5766,0
23,1,51, S3-12.jpg,1, [181 10 240], purple,1,32,1,1,0.5548,2,0.1702,0.5557,102,38,81,0.5766,0
23,1,52, S3-12.jpg,1, [181 10 240], purple,1,45,1,1,0.7686,2,0.6837,0.7693,77,32,81,0.5766,0
23,1,53, S3-12.jpg,1, [181 10 240], purple,1,25,1,1,0.4333,3,0.2532,0.4345,120,37,95,0.5766,0
23,1,54, S3-12.jpg,1, [181 10 240], purple,1,26,1,1,0.4612,3,0.2086,0.4621,80,66,102,0.5766,1
23,1,55, S4-20.jpg,2, [10 240 94], green,1,90,2,1,1.5799,2,0.0879,1.5807,112,46,118,0.5522,0
23,1,56, S3-12.jpg,1, [10 240 94], green,0,36,2,0,0.613,2,0.0559,0.6138,110,24,87,0.5766,0
23,1,57, S3-12.jpg,1, [10 240 94], green,0,32,2,0,0.5947,2,0.0933,0.5957,106,67,115,0.5766,0
23,1,58, S4-20.jpg,2, [181 10 240], purple,0,55,1,0,1.0228,3,0.0866,1.0236,85,54,109,0.5522,1
23,1,59, S3-12.jpg,1, [181 10 240], purple,1,36,1,1,0.6691,3,0.1599,0.6699,82,41,143,0.5766,0
23,1,60, S3-12.jpg,1, [240 168 10], orange, NaN,50,2,0,0.9212,2,0.0677,0.9221,92,32,79,0.5766,0
23,1,61, S4-20.jpg,2, [10 240 94], green,1,111,2,1,1.9729,2,0.1143,1.9739,92,36,101,0.5522,0
23,1,62, S3-12.jpg,1, [181 10 240], purple,1,35,1,1,0.6607,2,0.2189,0.6614,109,37,95,0.5766,0
23,1,63, S4-20.jpg,2, [10 240 94], green,1,56,2,1,1.0016,2,0.0636,1.0024,81,53,107,0.5522,0
23,1,64, S4-20.jpg,2, [240 168 10], orange, NaN,23,2,1,0.4166,2,0.1002,0.4175,115,27,88,0.5522,0
23,1,65, S4-20.jpg,2, [10 240 94], green,1,38,2,1,0.725,2,0.1226,0.7259,86,24,134,0.5522,0
23,1,66, S3-12.jpg,1, [181 10 240], purple,1,30,1,1,0.5587,2,0.1172,0.5597,85,27,111,0.5766,0
23,1,67, S4-20.jpg,2, [10 240 94], green,1,45,2,1,0.7973,2,0.0714,0.7981,128,35,77,0.5522,0
23,1,68, S3-12.jpg,1, [181 10 240], purple,1,320,1,1,5.7163,2,0.0884,5.7172,90,48,81,0.5766,1
23,1,69, S4-20.jpg,2, [10 240 94], green,1,34,2,1,0.6272,2,0.0024,0.628,76,52,83,0.5522,0
23,1,70, S4-20.jpg,2, [10 240 94], green,1,32,2,1,0.5802,2,0.0002,0.5811,102,55,77,0.5522,0
23,1,71, S4-20.jpg,2, [10 240 94], green,1,24,2,1,0.4335,2,0.0004,0.4343,86,48,92,0.5522,1
23,1,72, S3-12.jpg,1, [10 240 94], green,0,27,2,0,0.4976,2,0.0042,0.4984,77,36,88,0.5766,0
23,1,73, S4-20.jpg,2, [10 240 94], green,1,26,2,1,0.4475,2,0.0445,0.4483,106,40,78,0.5522,0
23,1,74, S3-12.jpg,1, [181 10 240], purple,1,27,1,1,0.464,2,0.0002,0.4649,84,24,81,0.5766,0
23,1,75, S3-12.jpg,1, [181 10 240], purple,1,25,1,1,0.4274,2,0.0677,0.4283,118,34,110,0.5766,0
