subID,block,trial,image,imageIdx,cueIdx,cue_string,congruent,response,accuracy,RT, cueDuration,learningRound
 23, 1, 1, S4-20.jpg, 2, 2, green, 1, NaN, 0, NaN, 1.3333, 1
 23, 1, 2, S4-20.jpg, 2, 1, purple, 0, 1, 0, 1.0230, 1.3833, 1
 23, 1, 3, S4-20.jpg, 2, 3, orange, NaN, 2, 1, 1.9996, 1.5000, 1
 23, 1, 4, S3-12.jpg, 1, 1, purple, 1, 1, 1, 1.9837, 1.2500, 1
 23, 1, 5, S3-12.jpg, 1, 3, orange, NaN, 1, 1, 2.4161, 1.5167, 1
 23, 1, 6, S3-12.jpg, 1, 1, purple, 1, 1, 1, 2.1495, 1.5333, 1
 23, 1, 7, S4-20.jpg, 2, 2, green, 1, 2, 1, 1.9663, 1.2500, 1
 23, 1, 8, S4-20.jpg, 2, 2, green, 1, 2, 1, 1.9495, 1.4500, 1
 23, 1, 9, S4-20.jpg, 2, 2, green, 1, 2, 1, 1.6829, 1.2667, 1
 23, 1, 10, S3-12.jpg, 1, 1, purple, 1, 1, 1, 2.0162, 1.6500, 1
 23, 1, 11, S4-20.jpg, 2, 1, purple, 0, 2, 1, 2.9326, 1.8833, 1
 23, 1, 12, S3-12.jpg, 1, 1, purple, 1, 1, 1, 2.0163, 1.4000, 1
 23, 1, 13, S4-20.jpg, 2, 2, green, 1, 2, 1, 2.2008, 1.4833, 1
 23, 1, 14, S4-20.jpg, 2, 3, orange, NaN, 2, 1, 2.1006, 1.5000, 1
 23, 1, 15, S3-12.jpg, 1, 2, green, 0, 1, 1, 1.8996, 1.3333, 1
 23, 1, 16, S3-12.jpg, 1, 1, purple, 1, 1, 1, 2.3329, 1.5500, 1
 23, 1, 17, S3-12.jpg, 1, 1, purple, 1, 1, 1, 1.9694, 1.2833, 1
 23, 1, 18, S4-20.jpg, 2, 3, orange, NaN, 2, 1, 1.9496, 1.3000, 1
 23, 1, 19, S3-12.jpg, 1, 2, green, 0, 1, 1, 1.9525, 1.3000, 1
 23, 1, 20, S4-20.jpg, 2, 3, orange, NaN, 2, 1, 2.5828, 1.8667, 1
 23, 1, 21, S3-12.jpg, 1, 3, orange, NaN, 1, 1, 2.5994, 1.9000, 1
 23, 1, 22, S3-12.jpg, 1, 1, purple, 1, 1, 1, 2.4341, 1.8500, 1
 23, 1, 23, S3-12.jpg, 1, 3, orange, NaN, 1, 1, 2.4661, 1.8333, 1
 23, 1, 24, S3-12.jpg, 1, 1, purple, 1, 1, 1, 1.9495, 1.3500, 1
 23, 1, 25, S3-12.jpg, 1, 1, purple, 1, 1, 1, 2.4836, 1.9167, 1
 23, 1, 26, S3-12.jpg, 1, 2, green, 0, 1, 1, 1.8830, 1.3167, 1
 23, 1, 27, S3-12.jpg, 1, 3, orange, NaN, 1, 1, 2.0663, 1.5500, 1
 23, 1, 28, S4-20.jpg, 2, 1, purple, 0, 2, 1, 1.9329, 1.4167, 1
 23, 1, 29, S4-20.jpg, 2, 3, orange, NaN, 2, 1, 2.4162, 1.4667, 1
 23, 1, 30, S3-12.jpg, 1, 1, purple, 1, 1, 1, 1.7995, 1.3500, 1
 23, 1, 31, S3-12.jpg, 1, 1, purple, 1, 1, 1, 2.1496, 1.4833, 1
 23, 1, 32, S4-20.jpg, 2, 3, orange, NaN, 2, 1, 2.2995, 1.7833, 1
 23, 1, 33, S3-12.jpg, 1, 3, orange, NaN, 1, 1, 2.0829, 1.6000, 1
