subID,block,trial,targetImage,targetIdx,coherence,respFrame,response,accuracy,RT,flickerDuration
 25, 1, 1, S4-20.jpg, 2, 0.73, 164, 2, 1, 2.3146, 2.3167
 25, 1, 2, S3-12.jpg, 1, 0.53, 125, 2, 0, 1.7426, 1.7432
 25, 1, 3, S4-20.jpg, 2, 0.70, 139, 2, 1, 1.9537, 1.9544
 25, 1, 4, S3-12.jpg, 1, 0.61, 365, 1, 1, 5.0586, 5.0600
 25, 1, 5, S4-20.jpg, 2, 0.66, 183, 2, 1, 2.5514, 2.5529
 25, 1, 6, S3-12.jpg, 1, 0.59, 351, 1, 1, 4.8709, 4.8718
 25, 1, 7, S3-12.jpg, 1, 0.73, 255, 1, 1, 3.4996, 3.5005
 25, 1, 8, S3-12.jpg, 1, 0.57, 154, 2, 0, 2.1662, 2.1670
 25, 1, 9, S3-12.jpg, 1, 0.70, 221, 1, 1, 3.0861, 3.0869
 25, 1, 10, S4-20.jpg, 2, 0.53, 95, 2, 1, 1.3146, 1.3154
 25, 1, 11, S4-20.jpg, 2, 0.63, 117, 2, 1, 1.6735, 1.6745
 25, 1, 12, S4-20.jpg, 2, 0.50, 174, 2, 1, 2.4066, 2.4076
 25, 1, 13, S3-12.jpg, 1, 0.66, 155, 1, 1, 2.1527, 2.1542
 25, 1, 14, S4-20.jpg, 2, 0.46, 485, 2, 1, 6.7103, 6.7112
 25, 1, 15, S4-20.jpg, 2, 0.60, 327, 2, 1, 4.5260, 4.5266
 25, 1, 16, S4-20.jpg, 2, 0.43, 208, 1, 0, 2.8468, 2.8476
 25, 1, 17, S4-20.jpg, 2, 0.58, 386, 2, 1, 5.3393, 5.3402
 25, 1, 18, S3-12.jpg, 1, 0.62, 110, 1, 1, 1.5532, 1.5541
 25, 1, 19, S4-20.jpg, 2, 0.56, 401, 1, 0, 5.5392, 5.5400
 25, 1, 20, S4-20.jpg, 2, 0.50, 477, 1, 0, 6.6051, 6.6059
 25, 1, 21, S4-20.jpg, 2, 0.60, 99, 2, 1, 1.3809, 1.3818
 25, 1, 22, S3-12.jpg, 1, 0.61, NaN, NaN, 0, NaN, 7.4326
 25, 1, 23, S3-12.jpg, 1, 0.63, NaN, NaN, 0, NaN, 7.4583
 25, 1, 24, S4-20.jpg, 2, 0.57, 63, 1, 0, 0.8858, 0.8867
 25, 1, 25, S4-20.jpg, 2, 0.58, 86, 2, 1, 1.2336, 1.2345
 25, 1, 26, S3-12.jpg, 1, 0.65, 404, 2, 0, 5.5920, 5.5930
 25, 1, 27, S4-20.jpg, 2, 0.56, 150, 2, 1, 2.0725, 2.0734
 25, 1, 28, S3-12.jpg, 1, 0.67, NaN, NaN, 0, NaN, 7.4468
 25, 1, 29, S4-20.jpg, 2, 0.55, 140, 1, 0, 1.9385, 1.9395
 25, 1, 30, S3-12.jpg, 1, 0.69, 497, 1, 1, 6.8450, 6.8459
 25, 1, 31, S3-12.jpg, 1, 0.70, 398, 2, 0, 5.4858, 5.4868
 25, 1, 32, S4-20.jpg, 2, 0.63, 74, 2, 1, 1.0197, 1.0204
 25, 1, 33, S3-12.jpg, 1, 0.77, 534, 1, 1, 7.3657, 7.3667
 25, 1, 34, S4-20.jpg, 2, 0.61, 199, 2, 1, 2.7658, 2.7668
 25, 1, 35, S4-20.jpg, 2, 0.58, 353, 2, 1, 4.8986, 4.8995
 25, 1, 36, S3-12.jpg, 1, 0.69, 402, 1, 1, 5.5525, 5.5534
 25, 1, 37, S3-12.jpg, 1, 0.75, 124, 2, 0, 1.7131, 1.7141
 25, 1, 38, S3-12.jpg, 1, 0.68, 309, 2, 0, 4.2724, 4.2739
 25, 1, 39, S4-20.jpg, 2, 0.56, 249, 2, 1, 3.4450, 3.4459
 25, 1, 40, S4-20.jpg, 2, 0.59, 403, 2, 1, 5.5415, 5.5426
 25, 1, 41, S3-12.jpg, 1, 0.80, 128, 1, 1, 1.7834, 1.7848
 25, 1, 42, S3-12.jpg, 1, 0.70, 390, 2, 0, 5.3844, 5.3853
 25, 1, 43, S4-20.jpg, 2, 0.55, 179, 2, 1, 2.4670, 2.4681
 25, 1, 44, S3-12.jpg, 1, 0.71, 124, 1, 1, 1.7245, 1.7254
 25, 1, 45, S4-20.jpg, 2, 0.54, 445, 2, 1, 6.1524, 6.1532
 25, 1, 46, S4-20.jpg, 2, 0.57, NaN, NaN, 0, NaN, 7.4657
 25, 1, 47, S3-12.jpg, 1, 0.79, 200, 1, 1, 2.7651, 2.7659
 25, 1, 48, S4-20.jpg, 2, 0.61, 290, 2, 1, 4.0252, 4.0259
 25, 1, 49, S4-20.jpg, 2, 0.53, 270, 2, 1, 3.7391, 3.7401
 25, 1, 50, S3-12.jpg, 1, 0.70, 150, 1, 1, 2.1129, 2.1138
 25, 1, 51, S3-12.jpg, 1, 0.77, 238, 1, 1, 3.3047, 3.3058
 25, 1, 52, S3-12.jpg, 1, 0.70, 270, 1, 1, 3.7544, 3.7553
 25, 1, 53, S3-12.jpg, 1, 0.75, 397, 2, 0, 5.4786, 5.4795
 25, 1, 54, S4-20.jpg, 2, 0.60, 74, 2, 1, 1.0128, 1.0136
 25, 1, 55, S4-20.jpg, 2, 0.52, 273, 2, 1, 3.8036, 3.8045
 25, 1, 56, S4-20.jpg, 2, 0.59, 407, 2, 1, 5.6388, 5.6398
